image_id,gt_id,class_id,direction,size_bin,width,height,area,stratum,sampling_weight,scan_limit,scan_limit_reason,scan_limit_float32_guard_pixels,o2o_base_active,o2o_base_runner,o2o_base_margin,rho_R_base_q_active,rho_R_base_q_runner,rho_R_base_q_gap,o2m_legacy_base,o2m_pre_topk_base,o2m_assigned_positive_base,o2m_positive_count_base,o2o_event_observed,o2o_radius,o2o_right_censored,o2o_censor_radius,o2o_censor_reason,o2o_bracket_low,o2o_bracket_high,o2m_legacy_event_observed,o2m_legacy_radius,o2m_legacy_right_censored,o2m_legacy_censor_radius,o2m_legacy_censor_reason,o2m_legacy_bracket_low,o2m_legacy_bracket_high,o2m_pre_topk_event_observed,o2m_pre_topk_radius,o2m_pre_topk_right_censored,o2m_pre_topk_censor_radius,o2m_pre_topk_censor_reason,o2m_pre_topk_bracket_low,o2m_pre_topk_bracket_high,o2m_assigned_positive_event_observed,o2m_assigned_positive_radius,o2m_assigned_positive_right_censored,o2m_assigned_positive_censor_radius,o2m_assigned_positive_censor_reason,o2m_assigned_positive_bracket_low,o2m_assigned_positive_bracket_high,rho_R_event_observed,rho_R_radius,rho_R_right_censored,rho_R_competing_censored,rho_R_censor_radius,rho_R_censor_reason,rho_R_bracket_low,rho_R_bracket_high,o2o_event_active,o2o_first_divergence
0000126_00054_d_0000124__1200_0,0,6,left,s_16_32,15.99993896484375,28.0,447.998291015625,t_and_s,44.130434782608695,0.25,rmax,0.0,7555,7556,0.9779112942448512,0.17748190462589264,0.003920345567166805,0.17356155905872583,11927,11927,11927,8,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,1,0.0478515625,eligibility_boundary,0.046875,0.0478515625,,right_censored
0000126_00054_d_0000124__1200_0,0,6,right,s_16_32,15.99993896484375,28.0,447.998291015625,t_and_s,44.130434782608695,0.25,rmax,0.0,7555,7556,0.9779112942448512,0.17748190462589264,0.003920345567166805,0.17356155905872583,11927,11927,11927,8,0,,1,0.25,rmax,,,1,0.0068359375,0,,,0.005859375,0.0068359375,1,0.0068359375,0,,,0.005859375,0.0068359375,1,0.0068359375,0,,,0.005859375,0.0068359375,0,,1,0,0.25,rmax,,,,right_censored
0000126_00054_d_0000124__1200_0,0,6,up,s_16_32,15.99993896484375,28.0,447.998291015625,t_and_s,44.130434782608695,0.25,rmax,0.0,7555,7556,0.9779112942448512,0.17748190462589264,0.003920345567166805,0.17356155905872583,11927,11927,11927,8,0,,1,0.25,rmax,,,1,0.189453125,0,,,0.1884765625,0.189453125,1,0.189453125,0,,,0.1884765625,0.189453125,1,0.189453125,0,,,0.1884765625,0.189453125,0,,1,0,0.25,rmax,,,,right_censored
0000126_00054_d_0000124__1200_0,0,6,down,s_16_32,15.99993896484375,28.0,447.998291015625,t_and_s,44.130434782608695,0.25,rmax,0.0,7555,7556,0.9779112942448512,0.17748190462589264,0.003920345567166805,0.17356155905872583,11927,11927,11927,8,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
0000126_00054_d_0000124__1200_0,1,6,left,s_16_32,14.0,22.0,308.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7553,7554,0.5451499479633407,0.12852835655212402,0.058461129665374756,0.07006722688674927,7653,7653,7653,4,1,0.1640625,0,,,0.1630859375,0.1640625,1,0.0390625,0,,,0.0380859375,0.0390625,1,0.0390625,0,,,0.0380859375,0.0390625,1,0.0390625,0,,,0.0380859375,0.0390625,0,,0,1,0.1142578125,eligibility_boundary,0.11328125,0.1142578125,11876,eligibility_boundary
0000126_00054_d_0000124__1200_0,1,6,right,s_16_32,14.0,22.0,308.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7553,7554,0.5451499479633407,0.12852835655212402,0.058461129665374756,0.07006722688674927,7653,7653,7653,4,1,0.0703125,0,,,0.0693359375,0.0703125,1,0.0947265625,0,,,0.09375,0.0947265625,1,0.0947265625,0,,,0.09375,0.0947265625,1,0.0947265625,0,,,0.09375,0.0947265625,1,0.0703125,0,0,,,0.0693359375,0.0703125,7554,within_set_geometry_rank_reversal
0000126_00054_d_0000124__1200_0,1,6,up,s_16_32,14.0,22.0,308.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7553,7554,0.5451499479633407,0.12852835655212402,0.058461129665374756,0.07006722688674927,7653,7653,7653,4,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
0000126_00054_d_0000124__1200_0,1,6,down,s_16_32,14.0,22.0,308.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7553,7554,0.5451499479633407,0.12852835655212402,0.058461129665374756,0.07006722688674927,7653,7653,7653,4,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
0000126_00054_d_0000124__1200_0,2,6,left,t_8_16,8.0,19.99993896484375,159.99951171875,t_and_s,44.130434782608695,0.25,rmax,0.0,6118,6218,0.910039251154844,0.19160808622837067,0.017237206920981407,0.17437087930738926,6218,6218,6218,3,1,0.1572265625,0,,,0.15625,0.1572265625,1,0.001953125,0,,,0.0009765625,0.001953125,1,0.001953125,0,,,0.0009765625,0.001953125,1,0.001953125,0,,,0.0009765625,0.001953125,0,,0,1,0.158203125,eligibility_boundary,0.1572265625,0.158203125,12879,within_set_geometry_rank_reversal
0000126_00054_d_0000124__1200_0,2,6,right,t_8_16,8.0,19.99993896484375,159.99951171875,t_and_s,44.130434782608695,0.25,rmax,0.0,6118,6218,0.910039251154844,0.19160808622837067,0.017237206920981407,0.17437087930738926,6218,6218,6218,3,0,,1,0.25,rmax,,,1,0.029296875,0,,,0.0283203125,0.029296875,1,0.029296875,0,,,0.0283203125,0.029296875,1,0.029296875,0,,,0.0283203125,0.029296875,0,,1,0,0.25,rmax,,,,right_censored
