size_group,estimand,tau,n_base_defined,n_base_undefined_excluded,weighted_n,estimate,ci_low,ci_high
all,o2o,0.125,29048,676,1280354.6065217394,0.11984795605500193,0.11932175737450877,0.12031805090526793
all,o2m_legacy,0.125,29276,448,1290385.2652173918,0.10018349180554832,0.09862100179913001,0.10167187316664526
all,o2m_pre_topk,0.125,29276,448,1290385.2652173918,0.10018349180554832,0.09862100179913001,0.10167187316664526
all,o2m_assigned_positive,0.125,28996,728,1278063.039130435,0.10024964154645914,0.09863510504771063,0.1017995635551108
t_8_16,o2o,0.125,25084,676,1105472.7500000002,0.11962160486081412,0.11914812798300567,0.12009117598119906
t_8_16,o2m_legacy,0.125,25312,448,1115503.4086956524,0.10208792294156555,0.10070703405411607,0.10342704326021891
t_8_16,o2m_pre_topk,0.125,25312,448,1115503.4086956524,0.10208792294156555,0.10070703405411607,0.10342704326021891
t_8_16,o2m_assigned_positive,0.125,25032,728,1103181.182608696,0.10217244853889476,0.10073728307603501,0.10357422191670336
s_16_32,o2o,0.125,3964,0,174881.85652173916,0.12128175870230536,0.11980288377302724,0.12244696857220368
s_16_32,o2m_legacy,0.125,3964,0,174881.85652173916,0.08800908713941621,0.08453309357794815,0.09185618977812951
s_16_32,o2m_pre_topk,0.125,3964,0,174881.85652173916,0.08800908713941621,0.08453309357794815,0.09185618977812951
s_16_32,o2m_assigned_positive,0.125,3964,0,174881.85652173916,0.08809360286109488,0.08462993402046369,0.09192370376396185
