size_group,status,n_rows,estimate,ci_low,ci_high
all,observed,1593,0.05358164872505343,0.04730687079628121,0.060405780802470624
all,competing_censored,7439,0.2502956733822687,0.24215200647293883,0.258412776195338
all,right_censored,16548,0.5567817694676057,0.523633102535688,0.5845700205999402
all,undefined,4144,0.13934090842507427,0.11226435798948779,0.17129174142579923
all,undefined_reason:base_active_missing,676,,,
all,undefined_reason:base_order_not_active_over_runner,56,,,
all,undefined_reason:base_runner_missing,3412,,,
t_8_16,observed,1406,0.054566512533890346,0.04812000168877892,0.06127097930179952
t_8_16,competing_censored,6399,0.24844208647791793,0.2398419061943345,0.25712642677156233
t_8_16,right_censored,13827,0.5368074145888104,0.502380141493028,0.5660009597429431
t_8_16,undefined,4128,0.160183986399383,0.13188486971796085,0.19350667054723686
t_8_16,undefined_reason:base_active_missing,676,,,
t_8_16,undefined_reason:base_order_not_active_over_runner,44,,,
t_8_16,undefined_reason:base_runner_missing,3408,,,
s_16_32,observed,187,0.04718837887749662,0.034570866867772256,0.06071137904474471
s_16_32,competing_censored,1040,0.2623282825197742,0.24455377431468525,0.27886953768557915
s_16_32,right_censored,2721,0.6864458302495744,0.6631092911917223,0.7119161139149993
s_16_32,undefined,16,0.00403750835315479,0.0,0.011124649889314202
s_16_32,undefined_reason:base_order_not_active_over_runner,12,,,
s_16_32,undefined_reason:base_runner_missing,4,,,
