dataset_index,image_id,stratum,inclusion_probability,sampling_weight
1,0000001_03499_d_0000006,t_and_s,0.5579567779960707,1.7922535211267607
2,0000001_03999_d_0000007,t_and_s,0.5579567779960707,1.7922535211267607
3,0000001_04527_d_0000008,t_and_s,0.5579567779960707,1.7922535211267607
4,0000001_05249_d_0000009,t_and_s,0.5579567779960707,1.7922535211267607
8,0000001_08414_d_0000013,t_and_s,0.5579567779960707,1.7922535211267607
9,0000021_00000_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
10,0000021_00500_d_0000002,t_and_s,0.5579567779960707,1.7922535211267607
12,0000022_00000_d_0000004,t_and_s,0.5579567779960707,1.7922535211267607
13,0000022_00500_d_0000005,t_and_s,0.5579567779960707,1.7922535211267607
14,0000022_01036_d_0000006,s_only,0.5833333333333334,1.7142857142857142
15,0000022_01251_d_0000007,s_only,0.5833333333333334,1.7142857142857142
19,0000023_01233_d_0000011,s_only,0.5833333333333334,1.7142857142857142
20,0000024_00000_d_0000012,t_and_s,0.5579567779960707,1.7922535211267607
22,0000024_01000_d_0000014,t_and_s,0.5579567779960707,1.7922535211267607
23,0000024_01543_d_0000015,s_only,0.5833333333333334,1.7142857142857142
25,0000026_00500_d_0000025,s_only,0.5833333333333334,1.7142857142857142
27,0000026_01500_d_0000027,s_only,0.5833333333333334,1.7142857142857142
28,0000026_02000_d_0000028,s_only,0.5833333333333334,1.7142857142857142
29,0000026_02500_d_0000029,t_and_s,0.5579567779960707,1.7922535211267607
31,0000026_03500_d_0000031,s_only,0.5833333333333334,1.7142857142857142
33,0000026_04500_d_0000033,t_and_s,0.5579567779960707,1.7922535211267607
35,0000055_00000_d_0000109,t_and_s,0.5579567779960707,1.7922535211267607
39,0000069_00713_d_0000003,t_and_s,0.5579567779960707,1.7922535211267607
40,0000069_01109_d_0000004,t_and_s,0.5579567779960707,1.7922535211267607
41,0000069_01878_d_0000005,t_and_s,0.5579567779960707,1.7922535211267607
43,0000069_02480_d_0000007,t_and_s,0.5579567779960707,1.7922535211267607
44,0000072_02834_d_0000003,t_and_s,0.5579567779960707,1.7922535211267607
45,0000076_02142_d_0000009,t_and_s,0.5579567779960707,1.7922535211267607
46,0000081_00000_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
47,0000086_00000_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
48,0000086_00592_d_0000002,t_and_s,0.5579567779960707,1.7922535211267607
50,0000086_01443_d_0000004,t_and_s,0.5579567779960707,1.7922535211267607
62,0000115_00315_d_0000080,t_and_s,0.5579567779960707,1.7922535211267607
63,0000115_00796_d_0000081,t_and_s,0.5579567779960707,1.7922535211267607
64,0000115_01031_d_0000082,t_and_s,0.5579567779960707,1.7922535211267607
66,0000116_00819_d_0000084,t_and_s,0.5579567779960707,1.7922535211267607
67,0000116_01059_d_0000085,t_and_s,0.5579567779960707,1.7922535211267607
68,0000116_01338_d_0000086,t_and_s,0.5579567779960707,1.7922535211267607
69,0000117_00112_d_0000087,t_and_s,0.5579567779960707,1.7922535211267607
70,0000117_01326_d_0000088,t_and_s,0.5579567779960707,1.7922535211267607
72,0000117_02708_d_0000090,t_and_s,0.5579567779960707,1.7922535211267607
74,0000129_02411_d_0000138,t_and_s,0.5579567779960707,1.7922535211267607
75,0000153_00001_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
76,0000153_00401_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
77,0000153_00801_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
79,0000153_01601_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
81,0000154_00001_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
83,0000154_00801_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
84,0000154_01201_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
85,0000154_01601_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
90,0000155_01201_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
94,0000162_00401_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
95,0000162_00801_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
96,0000162_01058_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
98,0000163_00359_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
99,0000165_04325_d_0000105,t_and_s,0.5579567779960707,1.7922535211267607
102,0000193_01497_d_0000111,t_and_s,0.5579567779960707,1.7922535211267607
103,0000193_01705_d_0000112,t_and_s,0.5579567779960707,1.7922535211267607
104,0000193_01876_d_0000113,t_and_s,0.5579567779960707,1.7922535211267607
105,0000193_02029_d_0000114,t_and_s,0.5579567779960707,1.7922535211267607
108,0000193_02606_d_0000117,t_and_s,0.5579567779960707,1.7922535211267607
111,0000194_00200_d_0000120,t_and_s,0.5579567779960707,1.7922535211267607
115,0000194_00998_d_0000124,t_and_s,0.5579567779960707,1.7922535211267607
117,0000196_04512_d_0000144,t_and_s,0.5579567779960707,1.7922535211267607
119,0000213_02500_d_0000240,t_and_s,0.5579567779960707,1.7922535211267607
120,0000213_02965_d_0000241,t_and_s,0.5579567779960707,1.7922535211267607
122,0000213_03920_d_0000243,t_and_s,0.5579567779960707,1.7922535211267607
123,0000213_04405_d_0000244,t_and_s,0.5579567779960707,1.7922535211267607
125,0000213_05340_d_0000246,t_and_s,0.5579567779960707,1.7922535211267607
126,0000213_05745_d_0000247,t_and_s,0.5579567779960707,1.7922535211267607
128,0000215_00447_d_0000257,t_and_s,0.5579567779960707,1.7922535211267607
129,0000215_00909_d_0000258,t_and_s,0.5579567779960707,1.7922535211267607
130,0000215_01395_d_0000259,t_and_s,0.5579567779960707,1.7922535211267607
135,0000215_03226_d_0000264,t_and_s,0.5579567779960707,1.7922535211267607
139,0000237_00001_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
140,0000242_00001_d_0000001,t_and_s,0.5579567779960707,1.7922535211267607
144,0000242_00963_d_0000005,s_only,0.5833333333333334,1.7142857142857142
145,0000242_01139_d_0000006,t_and_s,0.5579567779960707,1.7922535211267607
147,0000242_01912_d_0000008,t_and_s,0.5579567779960707,1.7922535211267607
148,0000242_02400_d_0000009,t_and_s,0.5579567779960707,1.7922535211267607
150,0000242_03199_d_0000011,t_and_s,0.5579567779960707,1.7922535211267607
152,0000242_04116_d_0000013,t_only,0.5,2.0
153,0000242_04600_d_0000014,t_and_s,0.5579567779960707,1.7922535211267607
159,0000244_00500_d_0000002,t_and_s,0.5579567779960707,1.7922535211267607
162,0000244_02000_d_0000005,t_and_s,0.5579567779960707,1.7922535211267607
164,0000244_03000_d_0000007,t_and_s,0.5579567779960707,1.7922535211267607
165,0000244_03500_d_0000008,t_and_s,0.5579567779960707,1.7922535211267607
166,0000244_04000_d_0000009,t_and_s,0.5579567779960707,1.7922535211267607
167,0000244_04400_d_0000010,t_and_s,0.5579567779960707,1.7922535211267607
171,0000244_06388_d_0000014,t_and_s,0.5579567779960707,1.7922535211267607
173,0000249_00235_d_0000002,t_and_s,0.5579567779960707,1.7922535211267607
175,0000249_01100_d_0000004,t_and_s,0.5579567779960707,1.7922535211267607
187,0000269_00001_d_0000348,t_and_s,0.5579567779960707,1.7922535211267607
188,0000269_00201_d_0000349,t_and_s,0.5579567779960707,1.7922535211267607
190,0000271_00001_d_0000374,t_and_s,0.5579567779960707,1.7922535211267607
191,0000271_00201_d_0000375,t_and_s,0.5579567779960707,1.7922535211267607
192,0000271_00401_d_0000376,t_and_s,0.5579567779960707,1.7922535211267607
193,0000271_00601_d_0000377,t_and_s,0.5579567779960707,1.7922535211267607
194,0000271_00801_d_0000378,t_and_s,0.5579567779960707,1.7922535211267607
195,0000271_01201_d_0000379,t_and_s,0.5579567779960707,1.7922535211267607
196,0000271_01401_d_0000380,t_and_s,0.5579567779960707,1.7922535211267607
198,0000271_02401_d_0000385,t_and_s,0.5579567779960707,1.7922535211267607
199,0000271_02601_d_0000386,t_and_s,0.5579567779960707,1.7922535211267607
201,0000271_03801_d_0000391,t_and_s,0.5579567779960707,1.7922535211267607
204,0000271_05001_d_0000397,t_and_s,0.5579567779960707,1.7922535211267607
205,0000271_05201_d_0000398,t_and_s,0.5579567779960707,1.7922535211267607
206,0000271_05401_d_0000399,t_and_s,0.5579567779960707,1.7922535211267607
209,0000271_06001_d_0000402,t_and_s,0.5579567779960707,1.7922535211267607
212,0000271_06601_d_0000405,t_and_s,0.5579567779960707,1.7922535211267607
215,0000271_07201_d_0000408,t_and_s,0.5579567779960707,1.7922535211267607
216,0000271_07401_d_0000409,t_and_s,0.5579567779960707,1.7922535211267607
217,0000273_05601_d_0000466,t_and_s,0.5579567779960707,1.7922535211267607
219,0000276_00401_d_0000509,t_and_s,0.5579567779960707,1.7922535211267607
220,0000276_00601_d_0000510,t_and_s,0.5579567779960707,1.7922535211267607
223,0000276_01401_d_0000514,t_and_s,0.5579567779960707,1.7922535211267607
224,0000276_01801_d_0000516,t_and_s,0.5579567779960707,1.7922535211267607
225,0000276_02001_d_0000517,t_and_s,0.5579567779960707,1.7922535211267607
227,0000276_02401_d_0000519,t_and_s,0.5579567779960707,1.7922535211267607
229,0000276_02801_d_0000521,t_and_s,0.5579567779960707,1.7922535211267607
230,0000276_03001_d_0000522,t_and_s,0.5579567779960707,1.7922535211267607
233,0000276_03601_d_0000525,t_and_s,0.5579567779960707,1.7922535211267607
235,0000276_04001_d_0000527,t_and_s,0.5579567779960707,1.7922535211267607
239,0000276_04801_d_0000531,t_and_s,0.5579567779960707,1.7922535211267607
240,0000276_05001_d_0000532,t_and_s,0.5579567779960707,1.7922535211267607
241,0000276_05201_d_0000533,t_and_s,0.5579567779960707,1.7922535211267607
242,0000276_05601_d_0000535,t_only,0.5,2.0
243,0000276_05801_d_0000536,t_and_s,0.5579567779960707,1.7922535211267607
248,0000277_01401_d_0000546,t_and_s,0.5579567779960707,1.7922535211267607
252,0000277_02201_d_0000550,t_and_s,0.5579567779960707,1.7922535211267607
256,0000277_03401_d_0000555,t_and_s,0.5579567779960707,1.7922535211267607
257,0000277_03601_d_0000556,t_and_s,0.5579567779960707,1.7922535211267607
264,0000280_00201_d_0000613,t_and_s,0.5579567779960707,1.7922535211267607
266,0000280_00601_d_0000615,t_and_s,0.5579567779960707,1.7922535211267607
268,0000280_01001_d_0000617,t_and_s,0.5579567779960707,1.7922535211267607
269,0000280_01201_d_0000618,t_and_s,0.5579567779960707,1.7922535211267607
270,0000280_01401_d_0000619,t_and_s,0.5579567779960707,1.7922535211267607
271,0000280_01601_d_0000620,t_and_s,0.5579567779960707,1.7922535211267607
272,0000280_01801_d_0000621,t_and_s,0.5579567779960707,1.7922535211267607
274,0000280_02201_d_0000623,t_and_s,0.5579567779960707,1.7922535211267607
276,0000280_02601_d_0000625,t_and_s,0.5579567779960707,1.7922535211267607
277,0000280_02801_d_0000626,t_and_s,0.5579567779960707,1.7922535211267607
280,0000280_03401_d_0000629,t_and_s,0.5579567779960707,1.7922535211267607
281,0000283_00401_d_0000676,t_and_s,0.5579567779960707,1.7922535211267607
282,0000283_00601_d_0000677,t_and_s,0.5579567779960707,1.7922535211267607
283,0000283_00801_d_0000678,t_and_s,0.5579567779960707,1.7922535211267607
285,0000287_00001_d_0000759,t_and_s,0.5579567779960707,1.7922535211267607
286,0000287_00201_d_0000760,t_and_s,0.5579567779960707,1.7922535211267607
287,0000287_00401_d_0000761,t_and_s,0.5579567779960707,1.7922535211267607
288,0000287_00601_d_0000762,t_and_s,0.5579567779960707,1.7922535211267607
291,0000287_01201_d_0000765,t_and_s,0.5579567779960707,1.7922535211267607
292,0000287_01401_d_0000766,t_and_s,0.5579567779960707,1.7922535211267607
293,0000287_01601_d_0000767,t_and_s,0.5579567779960707,1.7922535211267607
294,0000287_01801_d_0000768,t_and_s,0.5579567779960707,1.7922535211267607
295,0000287_02001_d_0000769,t_and_s,0.5579567779960707,1.7922535211267607
297,0000287_02401_d_0000771,t_and_s,0.5579567779960707,1.7922535211267607
301,0000287_03401_d_0000776,t_and_s,0.5579567779960707,1.7922535211267607
302,0000287_04601_d_0000780,t_and_s,0.5579567779960707,1.7922535211267607
303,0000287_04801_d_0000781,t_and_s,0.5579567779960707,1.7922535211267607
304,0000287_05001_d_0000782,t_and_s,0.5579567779960707,1.7922535211267607
305,0000289_00001_d_0000811,t_and_s,0.5579567779960707,1.7922535211267607
307,0000289_00401_d_0000813,t_and_s,0.5579567779960707,1.7922535211267607
309,0000289_00801_d_0000815,t_and_s,0.5579567779960707,1.7922535211267607
310,0000289_01001_d_0000816,t_and_s,0.5579567779960707,1.7922535211267607
311,0000289_01201_d_0000817,t_and_s,0.5579567779960707,1.7922535211267607
312,0000289_01401_d_0000818,t_and_s,0.5579567779960707,1.7922535211267607
314,0000289_02001_d_0000821,t_and_s,0.5579567779960707,1.7922535211267607
320,0000289_03401_d_0000828,t_and_s,0.5579567779960707,1.7922535211267607
321,0000289_03601_d_0000829,t_and_s,0.5579567779960707,1.7922535211267607
322,0000289_03801_d_0000830,t_and_s,0.5579567779960707,1.7922535211267607
325,0000289_04401_d_0000833,t_and_s,0.5579567779960707,1.7922535211267607
326,0000289_04601_d_0000834,t_and_s,0.5579567779960707,1.7922535211267607
327,0000289_04801_d_0000835,t_and_s,0.5579567779960707,1.7922535211267607
328,0000289_05001_d_0000836,t_and_s,0.5579567779960707,1.7922535211267607
334,0000289_06201_d_0000842,t_and_s,0.5579567779960707,1.7922535211267607
337,0000289_06801_d_0000845,t_and_s,0.5579567779960707,1.7922535211267607
339,0000289_07201_d_0000847,t_and_s,0.5579567779960707,1.7922535211267607
341,0000291_00001_d_0000868,t_and_s,0.5579567779960707,1.7922535211267607
342,0000291_00201_d_0000869,t_and_s,0.5579567779960707,1.7922535211267607
343,0000291_00401_d_0000870,t_and_s,0.5579567779960707,1.7922535211267607
344,0000291_00601_d_0000871,t_and_s,0.5579567779960707,1.7922535211267607
346,0000291_01201_d_0000874,t_and_s,0.5579567779960707,1.7922535211267607
349,0000291_01801_d_0000877,t_and_s,0.5579567779960707,1.7922535211267607
351,0000291_02201_d_0000879,t_and_s,0.5579567779960707,1.7922535211267607
352,0000291_02601_d_0000881,t_and_s,0.5579567779960707,1.7922535211267607
354,0000291_03401_d_0000885,t_and_s,0.5579567779960707,1.7922535211267607
358,0000291_04201_d_0000889,t_and_s,0.5579567779960707,1.7922535211267607
359,0000291_04401_d_0000890,t_and_s,0.5579567779960707,1.7922535211267607
360,0000291_05001_d_0000892,t_and_s,0.5579567779960707,1.7922535211267607
361,0000291_05201_d_0000893,t_and_s,0.5579567779960707,1.7922535211267607
363,0000295_00000_d_0000021,t_and_s,0.5579567779960707,1.7922535211267607
364,0000295_00200_d_0000022,t_and_s,0.5579567779960707,1.7922535211267607
365,0000295_00600_d_0000024,t_and_s,0.5579567779960707,1.7922535211267607
366,0000295_00800_d_0000025,t_and_s,0.5579567779960707,1.7922535211267607
367,0000295_01000_d_0000026,t_and_s,0.5579567779960707,1.7922535211267607
368,0000295_01200_d_0000027,t_and_s,0.5579567779960707,1.7922535211267607
369,0000295_01400_d_0000028,t_and_s,0.5579567779960707,1.7922535211267607
370,0000295_01600_d_0000029,t_and_s,0.5579567779960707,1.7922535211267607
371,0000295_01800_d_0000030,t_and_s,0.5579567779960707,1.7922535211267607
372,0000295_02000_d_0000031,t_and_s,0.5579567779960707,1.7922535211267607
374,0000295_02400_d_0000033,t_and_s,0.5579567779960707,1.7922535211267607
375,0000295_02900_d_0000034,t_and_s,0.5579567779960707,1.7922535211267607
376,0000296_00601_d_0000038,t_and_s,0.5579567779960707,1.7922535211267607
377,0000296_01001_d_0000040,t_and_s,0.5579567779960707,1.7922535211267607
380,0000301_00201_d_0000157,t_and_s,0.5579567779960707,1.7922535211267607
381,0000301_01001_d_0000161,t_and_s,0.5579567779960707,1.7922535211267607
383,0000303_03401_d_0000200,t_and_s,0.5579567779960707,1.7922535211267607
385,0000312_00001_d_0000414,t_and_s,0.5579567779960707,1.7922535211267607
386,0000312_00201_d_0000415,t_and_s,0.5579567779960707,1.7922535211267607
387,0000312_00601_d_0000417,t_and_s,0.5579567779960707,1.7922535211267607
390,0000312_02201_d_0000425,t_and_s,0.5579567779960707,1.7922535211267607
391,0000312_02401_d_0000426,t_and_s,0.5579567779960707,1.7922535211267607
392,0000312_04201_d_0000435,t_and_s,0.5579567779960707,1.7922535211267607
394,0000313_06601_d_0000469,t_and_s,0.5579567779960707,1.7922535211267607
395,0000313_07001_d_0000471,t_and_s,0.5579567779960707,1.7922535211267607
397,0000316_00001_d_0000519,t_and_s,0.5579567779960707,1.7922535211267607
399,0000316_00401_d_0000521,t_and_s,0.5579567779960707,1.7922535211267607
402,0000316_01001_d_0000524,t_and_s,0.5579567779960707,1.7922535211267607
403,0000316_01201_d_0000525,t_and_s,0.5579567779960707,1.7922535211267607
406,0000316_01801_d_0000528,s_only,0.5833333333333334,1.7142857142857142
412,0000327_00401_d_0000713,t_and_s,0.5579567779960707,1.7922535211267607
413,0000327_00601_d_0000714,t_and_s,0.5579567779960707,1.7922535211267607
415,0000327_01001_d_0000716,t_and_s,0.5579567779960707,1.7922535211267607
416,0000327_01201_d_0000717,t_and_s,0.5579567779960707,1.7922535211267607
419,0000327_02601_d_0000724,t_and_s,0.5579567779960707,1.7922535211267607
422,0000327_03201_d_0000727,t_and_s,0.5579567779960707,1.7922535211267607
424,0000327_03601_d_0000729,t_and_s,0.5579567779960707,1.7922535211267607
425,0000327_03801_d_0000730,t_and_s,0.5579567779960707,1.7922535211267607
426,0000327_04001_d_0000731,t_and_s,0.5579567779960707,1.7922535211267607
427,0000327_04201_d_0000732,t_and_s,0.5579567779960707,1.7922535211267607
429,0000330_00201_d_0000801,t_and_s,0.5579567779960707,1.7922535211267607
431,0000330_00601_d_0000803,t_and_s,0.5579567779960707,1.7922535211267607
432,0000330_00801_d_0000804,t_and_s,0.5579567779960707,1.7922535211267607
437,0000330_01801_d_0000809,t_and_s,0.5579567779960707,1.7922535211267607
439,0000330_02201_d_0000811,t_and_s,0.5579567779960707,1.7922535211267607
440,0000330_02801_d_0000814,t_and_s,0.5579567779960707,1.7922535211267607
444,0000330_04201_d_0000821,t_and_s,0.5579567779960707,1.7922535211267607
445,0000330_04401_d_0000822,t_and_s,0.5579567779960707,1.7922535211267607
450,0000333_02157_d_0000012,t_and_s,0.5579567779960707,1.7922535211267607
451,0000333_02353_d_0000013,t_and_s,0.5579567779960707,1.7922535211267607
452,0000333_02549_d_0000014,t_and_s,0.5579567779960707,1.7922535211267607
453,0000333_02745_d_0000015,t_and_s,0.5579567779960707,1.7922535211267607
454,0000333_02941_d_0000016,t_and_s,0.5579567779960707,1.7922535211267607
455,0000333_03137_d_0000017,t_and_s,0.5579567779960707,1.7922535211267607
458,0000333_03725_d_0000020,t_and_s,0.5579567779960707,1.7922535211267607
460,0000335_00197_d_0000044,t_and_s,0.5579567779960707,1.7922535211267607
461,0000335_00393_d_0000045,t_and_s,0.5579567779960707,1.7922535211267607
462,0000335_00589_d_0000046,t_and_s,0.5579567779960707,1.7922535211267607
463,0000335_00785_d_0000047,t_and_s,0.5579567779960707,1.7922535211267607
465,0000335_01765_d_0000052,t_and_s,0.5579567779960707,1.7922535211267607
466,0000335_01961_d_0000053,t_and_s,0.5579567779960707,1.7922535211267607
467,0000335_02353_d_0000055,t_and_s,0.5579567779960707,1.7922535211267607
468,0000335_02549_d_0000056,t_and_s,0.5579567779960707,1.7922535211267607
469,0000335_02745_d_0000057,t_and_s,0.5579567779960707,1.7922535211267607
470,0000335_03137_d_0000059,t_and_s,0.5579567779960707,1.7922535211267607
472,0000335_03725_d_0000062,t_and_s,0.5579567779960707,1.7922535211267607
473,0000335_03921_d_0000063,t_and_s,0.5579567779960707,1.7922535211267607
475,0000335_04313_d_0000065,t_and_s,0.5579567779960707,1.7922535211267607
476,0000335_05097_d_0000069,t_and_s,0.5579567779960707,1.7922535211267607
477,0000335_05685_d_0000072,t_and_s,0.5579567779960707,1.7922535211267607
478,0000335_06469_d_0000076,t_and_s,0.5579567779960707,1.7922535211267607
479,0000335_06665_d_0000077,t_and_s,0.5579567779960707,1.7922535211267607
