image_id,gt_id,class_id,width,height,area,equivalent_side,size_bin,stratum,sampling_weight,normalized_kappa,shift_pixels,shift_pixels_x,shift_pixels_y,o2o_active,o2o_runner,o2o_margin,o2m_rank,o2m_runner,o2m_margin,o2m_positive_count,q_active,active_ciou,active_class_score,active_stride,legal_directions,o2o_fragile,o2m_fragile,o2o_flip_rate,o2m_flip_rate,common_valid_margin
0000126_00054_d_0000124__1200_0,0,6,15.99993896484375,28.0,447.998291015625,21.165970117517055,s_16_32,t_and_s,44.130434782608695,0.0625,1.322873132344816,1.322873132344816,1.322873132344816,7555,7556,0.9768203013161835,11927,7655,0.25829907449593387,8,0.12158429622650146,0.7164328098297119,0.8084428906440735,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,1,6,14.0,22.0,308.0,17.549928774784245,s_16_32,t_and_s,44.130434782608695,0.0625,1.0968705484240153,1.0968705484240153,1.0968705484240153,7553,7554,0.4022831726591971,7553,7554,0.4504034532754342,4,0.05698365718126297,0.7136586308479309,0.18604344129562378,8,4,1,1,0.25,0.5,1
0000126_00054_d_0000124__1200_0,2,6,8.0,19.99993896484375,159.99951171875,12.649091339647683,t_8_16,t_and_s,44.130434782608695,0.0625,0.7905682087279802,0.7905682087279802,0.7905682087279802,6118,6218,0.8205511827693893,12879,6218,0.09535252666613943,3,0.18672911822795868,0.7770698666572571,0.71928870677948,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,3,6,8.0,18.0,144.0,12.0,t_8_16,t_and_s,44.130434782608695,0.0625,0.75,0.75,0.75,,,,,,,0,,,,,4,1,1,0.5,0.5,0
0000126_00054_d_0000124__1200_0,4,6,6.0,15.99993896484375,95.9996337890625,9.797940282991242,t_8_16,t_and_s,44.130434782608695,0.0625,0.6123712676869526,0.6123712676869526,0.6123712676869526,5224,5324,0.2700290521907833,5224,11312,0.03704746323020575,3,0.06544731557369232,0.7108404636383057,0.25734636187553406,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,5,6,8.0,16.0,128.0,11.313708498984761,t_8_16,t_and_s,44.130434782608695,0.0625,0.7071067811865476,0.7071067811865476,0.7071067811865476,5325,5225,0.7967699060438577,5325,5225,0.27435096768600375,2,0.20130929350852966,0.8094305396080017,0.5123568773269653,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,6,6,8.0,14.0,112.0,10.583005244258363,t_8_16,t_and_s,44.130434782608695,0.0625,0.6614378277661477,0.6614378277661477,0.6614378277661477,5022,,,5022,12805,0.33224757666914717,2,0.12725985050201416,0.7252020239830017,0.7653757929801941,8,4,0,1,0.0,0.25,0
0000126_00054_d_0000124__1200_0,7,6,8.0,16.0,128.0,11.313708498984761,t_8_16,t_and_s,44.130434782608695,0.0625,0.7071067811865476,0.7071067811865476,0.7071067811865476,5025,,,5025,12806,0.9590006276534788,2,0.03452278673648834,0.7625522017478943,0.030830226838588715,8,4,0,0,0.0,0.0,0
0000126_00054_d_0000124__1200_0,8,6,8.0,13.99993896484375,111.99951171875,10.582982175112551,t_8_16,t_and_s,44.130434782608695,0.0625,0.6614363859445345,0.6614363859445345,0.6614363859445345,4823,,,4823,,,1,0.06865105777978897,0.6749829649925232,0.5269637107849121,8,4,0,1,0.0,0.5,0
0000126_00054_d_0000124__1200_0,9,6,6.0,14.0,84.0,9.16515138991168,t_8_16,t_and_s,44.130434782608695,0.0625,0.57282196186948,0.57282196186948,0.57282196186948,4824,4924,0.6579128406159307,11212,4924,0.21129867351551102,5,0.3588702380657196,0.9519206285476685,0.2326301485300064,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,10,6,8.0,18.0,144.0,12.0,t_8_16,t_and_s,44.130434782608695,0.0625,0.75,0.75,0.75,5403,5303,0.9211685720121289,11351,5403,0.16454561276236737,3,0.04409269988536835,0.6621461510658264,0.2737077474594116,8,4,0,0,0.0,0.0,1
0000126_00054_d_0000124__1200_0,11,6,6.0,16.0,96.0,9.797958971132712,t_8_16,t_and_s,44.130434782608695,0.0625,0.6123724356957945,0.6123724356957945,0.6123724356957945,5303,11301,0.9472680535030574,11301,5303,0.4258886116554052,2,0.0044334144331514835,0.47378554940223694,0.15363670885562897,8,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,0,6,10.0,32.0,320.0,17.88854381999832,s_16_32,t_and_s,44.130434782608695,0.0625,1.118033988749895,1.118033988749895,1.118033988749895,5619,5819,0.9246561005753102,5719,5819,0.021528769283982282,5,0.03819173946976662,0.6062901616096497,0.5912520289421082,8,4,0,1,0.0,0.25,1
0000170_00401_d_0000001__160_0,1,6,8.0,14.0,112.0,10.583005244258363,t_8_16,t_and_s,44.130434782608695,0.0625,0.6614378277661477,0.6614378277661477,0.6614378277661477,5519,5619,0.826754137365906,5519,5619,0.22436023149549353,0,0.015218498185276985,0.6702089905738831,0.028198150917887688,8,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,2,6,16.0,26.00006103515625,416.0009765625,20.396101994314993,s_16_32,t_and_s,44.130434782608695,0.0625,1.274756374644687,1.274756374644687,1.274756374644687,5715,5716,0.040938643786800975,11407,5715,0.0396873428779487,1,0.005582376383244991,0.5816493034362793,0.020782779902219772,8,4,1,1,0.75,0.25,1
0000170_00401_d_0000001__160_0,3,6,18.0,32.0,576.0,24.0,s_16_32,t_and_s,44.130434782608695,0.0625,1.5,1.5,1.5,5716,5616,0.5390778200820528,5816,5815,0.1744707994499726,10,0.16848212480545044,0.8826624155044556,0.1269322633743286,8,4,1,1,0.25,0.5,1
0000170_00401_d_0000001__160_0,4,6,24.0,24.0,576.0,24.0,s_16_32,t_and_s,44.130434782608695,0.0625,1.5,1.5,1.5,5816,5916,0.45096943795611366,5916,5915,0.13804932378347856,5,0.0015110158128663898,0.45798611640930176,0.02681083045899868,8,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,6,6,10.000001907348633,18.0,180.0000343322754,13.416409144487037,t_8_16,t_and_s,44.130434782608695,0.0625,0.8385255715304398,0.8385255715304398,0.8385255715304398,5104,5004,0.9703047217890103,5104,5004,0.09684704422646528,2,0.16210907697677612,0.7889010310173035,0.45221441984176636,8,4,0,0,0.0,0.0,1
