class_id,class_name,size_bin,raw_n,raw_valid_n,weighted_n,weighted_valid_n,weighted_invalid_rate,weighted_fragility_rate_valid,weighted_fn_rate_valid,weighted_fn_rate_all,weighted_margin_mean_valid,weighted_margin_median_valid,small_valid_cell
0,airplane,s_16_32,2,2,88.26086956521739,88.26086956521739,0.0,0.0,0.5,0.5,0.7424635850124237,0.493976611705448,True
0,airplane,t_8_16,13,8,570.2125,350.90000000000003,0.3846153846153846,0.6249999999999999,0.25,0.3076923076923077,0.8082088186838214,0.9477838885299212,True
1,bridge,s_16_32,4,4,176.52173913043478,176.52173913043478,0.0,0.0,0.0,0.0,0.6577366086268547,0.546100259251398,True
1,bridge,t_8_16,15,14,659.2771739130436,615.1467391304349,0.0669376045900072,0.28565206251601327,0.28521650012810656,0.26612479081998563,0.7275861662528229,0.7863887964946562,True
2,storage-tank,s_16_32,10,10,441.30434782608694,441.30434782608694,0.0,0.0,0.30000000000000004,0.30000000000000004,0.931704340968953,0.992286126746975,True
2,storage-tank,t_8_16,14,11,617.2902173913045,484.8989130434782,0.21447173568911837,0.0,0.36348566599492954,0.28552826431088185,0.9444630194771515,0.9735585188774888,True
3,ship,s_16_32,93,93,4091.869565217385,4091.869565217385,0.0,0.07549435253365637,0.08627926003846442,0.08627926003846442,0.8739028961548267,0.978975998511865,True
3,ship,t_8_16,348,305,15313.71793478251,13424.683152173844,0.1233557252819737,0.22287510874376157,0.07538745651717066,0.08905456712387136,0.8478745707843456,0.9722162558959507,False
4,swimming-pool,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9269260408100274,0.9269260408100273,True
4,swimming-pool,t_8_16,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9987504928710149,0.9987504928710148,True
5,vehicle,s_16_32,810,809,35745.11630434745,35700.98586956484,0.0012345864091436454,0.07787508730044508,0.14586127462623047,0.14691578268810024,0.8683865423794331,0.9672271302984531,False
5,vehicle,t_8_16,5834,4903,257128.73641306427,216110.8211956678,0.15952287476535976,0.23692783013594296,0.08157945614814156,0.08877710607976096,0.8572941124543484,0.9636243235814279,False
6,person,s_16_32,71,71,3133.2608695652148,3133.2608695652148,0.0,0.3521126760563382,0.07042253521126764,0.07042253521126764,0.6328704336561071,0.7629792443612228,True
6,person,t_8_16,197,177,8687.265217391314,7805.7282608695805,0.10147462227318171,0.5309574768808303,0.10734967491822477,0.13195401965195427,0.6606451173976745,0.7333277946962342,False
7,wind-mill,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.5362751779698586,0.5362751779698586,True
7,wind-mill,t_8_16,20,19,880.1972826086952,836.3347826086953,0.04983257829426824,0.526062867480778,0.1055329413538369,0.15010654108546567,0.6015702272271853,0.7559041850028245,True
