image_id,gt_id,size_bin,area,o2o_flip_rate,stride_flip_rate,o2m_positive_count,o2o_margin_0,max_iou,best_prediction_score,fn_at_iou50,success_iou75,stability_group
0000001_03499_d_0000006,0,s_16_32,531.2599944993854,0.0,0.0,10.0,0.9991441831551432,0.9130136717965296,0.93618,0,1,stable
0000001_03499_d_0000006,1,s_16_32,381.9477674290538,0.0,0.0,6.0,0.9915674953350949,0.9134323100404024,0.93618,0,1,stable
0000001_03499_d_0000006,3,s_16_32,940.6281025856733,0.0,0.0,10.0,0.998348461973491,0.7370613854931667,0.93618,0,0,stable
0000001_03499_d_0000006,5,s_16_32,929.3392265848815,0.0,0.0,10.0,0.18305573266254108,0.9333916228260082,0.93618,0,1,stable
0000001_03499_d_0000006,6,s_16_32,914.9458991736174,0.0,0.0,10.0,0.9978842796126068,0.8431348624733819,0.93618,0,1,stable
0000001_03499_d_0000006,10,t_8_16,156.59272934496403,0.0,0.0,2.0,0.9337415620153676,0.681580897870914,0.66452,0,0,stable
0000001_03499_d_0000006,11,t_8_16,93.75045776367188,0.5,0.0,5.0,0.3681970998524091,0.724755894425502,0.4717,0,0,mild
0000001_03499_d_0000006,12,s_16_32,266.669921875,0.0,0.0,6.0,0.9016141477604285,0.784622548726563,0.48571,0,1,stable
0000001_03499_d_0000006,13,s_16_32,450.012003660202,0.0,0.0,10.0,0.9940225956204879,0.9233635461148364,0.93618,0,1,stable
0000001_03499_d_0000006,14,s_16_32,348.96352133899927,0.0,0.0,6.0,0.9873664317162771,0.8725262263638627,0.93618,0,1,stable
0000001_03499_d_0000006,15,s_16_32,383.3328182473779,0.0,0.0,5.0,0.8747910494208793,0.9140390929134768,0.93618,0,1,stable
0000001_03499_d_0000006,16,s_16_32,318.22565715387464,0.0,0.0,5.0,0.966199668986662,0.5301249786384389,0.48571,0,0,stable
0000001_03499_d_0000006,17,t_8_16,105.7254281938076,0.0,0.0,1.0,,0.7502611122614528,0.4717,0,1,stable
0000001_03499_d_0000006,18,t_8_16,203.12423706054688,0.0,0.0,5.0,0.76096028725015,0.7947962250140266,0.66452,0,1,stable
0000001_03499_d_0000006,19,s_16_32,289.06687340768985,0.0,0.0,5.0,0.8945436517973605,0.6634871837066769,0.66452,0,0,stable
0000001_03499_d_0000006,20,t_8_16,171.6997538562864,0.0,0.0,3.0,0.6055572272788865,0.7380031777240214,0.66452,0,0,stable
0000001_03499_d_0000006,21,t_8_16,154.1656494140625,0.25,0.25,5.0,0.6391981536200717,0.7599491502897907,0.66452,0,1,mild
0000001_03499_d_0000006,22,t_8_16,85.59093050658703,0.25,0.0,4.0,0.6105372108030889,0.0,0.20332,1,0,mild
0000001_03499_d_0000006,23,t_8_16,72.22362941876054,0.0,0.0,1.0,0.9201396902731314,0.24774662588589966,0.66452,1,0,stable
0000001_03499_d_0000006,26,t_8_16,75.86887780576944,0.0,0.0,2.0,0.9974513811163536,0.7139281947668294,0.66452,0,0,stable
0000001_03499_d_0000006,30,s_16_32,328.4788174331188,0.0,0.0,7.0,0.8434400273111123,0.725368009271169,0.52879,0,0,stable
0000001_03499_d_0000006,47,t_8_16,75.86877609789371,0.0,0.0,3.0,0.9328090589881097,0.5368208706316872,0.66452,0,0,stable
0000001_03499_d_0000006,49,s_16_32,581.2564086914062,0.0,0.0,10.0,0.9755586310721973,0.5426237616798675,0.93618,0,0,stable
0000001_03499_d_0000006,52,t_8_16,179.16748046875,0.0,0.0,5.0,0.7035886259119499,0.580864936377733,0.66452,0,0,stable
0000001_03499_d_0000006,53,s_16_32,388.8827175796032,0.0,0.0,8.0,0.9929862304564631,0.9377305748088182,0.52879,0,1,stable
0000001_03499_d_0000006,54,t_8_16,66.66300459206104,0.25,0.0,2.0,0.32907722611313855,0.6603883724878102,0.6791,0,0,mild
0000001_03499_d_0000006,56,t_8_16,64.92865669727325,0.5,0.5,4.0,0.831618064021984,0.7410721963683128,0.6791,0,0,mild
0000001_03499_d_0000006,58,t_8_16,87.49465947598219,0.0,0.0,1.0,,0.5374882444725508,0.6791,0,0,stable
0000001_03499_d_0000006,63,t_8_16,159.72047594189644,0.0,0.0,4.0,0.8169945397574933,0.715653052073507,0.6791,0,0,stable
0000001_03499_d_0000006,64,s_16_32,294.4461398422718,0.0,0.0,7.0,0.9956153569481986,0.9078104095012473,0.93618,0,1,stable
0000001_03499_d_0000006,65,t_8_16,65.62820434570312,0.0,0.0,3.0,0.7379176913914571,0.6606124116865701,0.4717,0,0,stable
0000001_03499_d_0000006,66,t_8_16,72.9125213548541,0.5,0.0,3.0,0.14257118385055198,0.5130305992028367,0.4717,0,0,mild
0000001_03499_d_0000006,69,t_8_16,70.8343505859375,0.5,0.0,3.0,0.2681862168128568,0.5668018394102896,0.66452,0,0,mild
0000001_03499_d_0000006,74,t_8_16,73.78710854612291,0.25,0.0,4.0,0.7419024865888404,0.5383801806436307,0.66452,0,0,mild
0000001_03999_d_0000007,2,t_8_16,225.69817431271076,0.0,0.0,6.0,0.924566566072256,0.674533645054528,0.84021,0,0,stable
0000001_03999_d_0000007,3,t_8_16,252.77113173902035,0.0,0.0,4.0,0.9915806142166291,0.7816158529961312,0.84021,0,1,stable
0000001_03999_d_0000007,4,t_8_16,190.9758928231895,0.0,0.0,2.0,0.8142309225928975,0.7774018499158208,0.84021,0,1,stable
0000001_03999_d_0000007,6,s_16_32,595.475548684597,0.25,0.0,10.0,0.4748775525319684,0.5032461491132924,0.87898,0,0,mild
0000001_03999_d_0000007,7,s_16_32,607.6331244707108,0.0,0.0,10.0,0.986444361222624,0.9509947518066161,0.87898,0,1,stable
0000001_03999_d_0000007,8,s_16_32,429.6946207880974,0.0,0.0,7.0,0.8490187875401467,0.847138521723441,0.87898,0,1,stable
0000001_03999_d_0000007,9,t_8_16,234.7279527336359,0.0,0.0,4.0,0.6401417326405304,0.8622997889216967,0.84021,0,1,stable
0000001_03999_d_0000007,10,t_8_16,234.3842569589615,0.0,0.0,4.0,0.9910948182871637,0.8174153540844946,0.84021,0,1,stable
0000001_03999_d_0000007,11,s_16_32,458.3449300825596,0.0,0.0,10.0,0.6818215162739735,0.6915121154171434,0.87898,0,0,stable
0000001_03999_d_0000007,12,t_8_16,155.03928293660283,0.0,0.0,4.0,0.737740860717543,0.6947686004226759,0.84021,0,0,stable
0000001_03999_d_0000007,13,s_16_32,374.99257407337427,0.0,0.0,5.0,0.5669622592977376,0.0,0.9467,1,0,stable
0000001_03999_d_0000007,14,s_16_32,281.9430372416973,0.0,0.0,4.0,0.878103707654195,0.7869525327540878,0.62446,0,1,stable
0000001_03999_d_0000007,15,t_8_16,211.4569091796875,0.0,0.0,3.0,0.6657035217324216,0.6795845838301677,0.87898,0,0,stable
0000001_03999_d_0000007,16,s_16_32,899.9903869628906,0.0,0.0,10.0,0.9054343324210699,0.827547599355793,0.87898,0,1,stable
0000001_03999_d_0000007,17,t_8_16,111.10609267652035,0.25,0.0,5.0,0.46147982699410306,0.7783053605808753,0.84021,0,1,mild
