size_bin,metric,count,tau
all,all_trajectories,29724,0.125
all,o2o_initial_defined,29048,0.125
all,o2m_initial_defined,28996,0.125
all,common_initial_defined,28992,0.125
all,o2o_first_event_through_tau,2511,0.125
all,o2o_geometric_censor_before_tau,191,0.125
all,o2o_administrative_rmax_censor_before_tau,0,0.125
all,o2o_observable_through_tau,24989,0.125
all,o2m_first_event_through_tau,10069,0.125
all,o2m_geometric_censor_before_tau,167,0.125
all,o2m_administrative_rmax_censor_before_tau,0,0.125
all,o2m_observable_through_tau,23636,0.125
all,common_o2o_first_event_through_tau,2496,0.125
all,common_o2o_geometric_censor_before_tau,191,0.125
all,common_o2o_administrative_rmax_censor_before_tau,0,0.125
all,common_o2o_observable_through_tau,24951,0.125
all,common_o2m_first_event_through_tau,10067,0.125
all,common_o2m_geometric_censor_before_tau,167,0.125
all,common_o2m_administrative_rmax_censor_before_tau,0,0.125
all,common_o2m_observable_through_tau,23632,0.125
t_8_16,all_trajectories,25760,0.125
t_8_16,o2o_initial_defined,25084,0.125
t_8_16,o2m_initial_defined,25032,0.125
t_8_16,common_initial_defined,25028,0.125
t_8_16,o2o_first_event_through_tau,2260,0.125
t_8_16,o2o_geometric_censor_before_tau,154,0.125
t_8_16,o2o_administrative_rmax_censor_before_tau,0,0.125
t_8_16,o2o_observable_through_tau,21553,0.125
t_8_16,o2m_first_event_through_tau,8169,0.125
t_8_16,o2m_geometric_censor_before_tau,135,0.125
t_8_16,o2m_administrative_rmax_censor_before_tau,0,0.125
t_8_16,o2m_observable_through_tau,20403,0.125
t_8_16,common_o2o_first_event_through_tau,2245,0.125
t_8_16,common_o2o_geometric_censor_before_tau,154,0.125
t_8_16,common_o2o_administrative_rmax_censor_before_tau,0,0.125
t_8_16,common_o2o_observable_through_tau,21515,0.125
t_8_16,common_o2m_first_event_through_tau,8167,0.125
t_8_16,common_o2m_geometric_censor_before_tau,135,0.125
t_8_16,common_o2m_administrative_rmax_censor_before_tau,0,0.125
t_8_16,common_o2m_observable_through_tau,20399,0.125
s_16_32,all_trajectories,3964,0.125
s_16_32,o2o_initial_defined,3964,0.125
s_16_32,o2m_initial_defined,3964,0.125
s_16_32,common_initial_defined,3964,0.125
s_16_32,o2o_first_event_through_tau,251,0.125
s_16_32,o2o_geometric_censor_before_tau,37,0.125
s_16_32,o2o_administrative_rmax_censor_before_tau,0,0.125
s_16_32,o2o_observable_through_tau,3436,0.125
s_16_32,o2m_first_event_through_tau,1900,0.125
s_16_32,o2m_geometric_censor_before_tau,32,0.125
s_16_32,o2m_administrative_rmax_censor_before_tau,0,0.125
s_16_32,o2m_observable_through_tau,3233,0.125
s_16_32,common_o2o_first_event_through_tau,251,0.125
s_16_32,common_o2o_geometric_censor_before_tau,37,0.125
s_16_32,common_o2o_administrative_rmax_censor_before_tau,0,0.125
s_16_32,common_o2o_observable_through_tau,3436,0.125
s_16_32,common_o2m_first_event_through_tau,1900,0.125
s_16_32,common_o2m_geometric_censor_before_tau,32,0.125
s_16_32,common_o2m_administrative_rmax_censor_before_tau,0,0.125
s_16_32,common_o2m_observable_through_tau,3233,0.125
