size_bin,support,estimand,rows,images,rmcbd_tau_0125,ci_low,ci_high,bootstrap_reps,bootstrap_seed
all,o2o_natural,o2o,29048,298,0.11984795605500193,0.11930133823670645,0.12032311695188323,5000,20260831
all,o2o_natural,o2m,29048,298,0.1002520994387876,0.09864265233962256,0.10179506193411289,5000,20260831
all,o2m_natural,o2o,28996,298,0.11986765554460191,0.11933071434062147,0.12034032347210245,5000,20260831
all,o2m_natural,o2m,28996,298,0.10024964154645914,0.09864209185416944,0.10179403707509874,5000,20260831
all,common_trajectory,o2o,28992,298,0.11986765554460191,0.11933071434062147,0.12034032347210245,5000,20260831
all,common_trajectory,o2m,28992,298,0.1002520994387876,0.09864265233962256,0.10179506193411289,5000,20260831
all,common_trajectory,o2o_minus_o2m,28992,298,0.019615556105814308,0.017951773293583925,0.02137709194990775,5000,20260831
t_8_16,o2o_natural,o2o,25084,296,0.11962160486081412,0.11913447519748613,0.1201109638239654,5000,20260831
t_8_16,o2o_natural,o2m,25084,296,0.10217560376870778,0.10075781698029353,0.10352992249380617,5000,20260831
t_8_16,o2m_natural,o2o,25032,296,0.11964391257624088,0.11915999562858687,0.12012737389200596,5000,20260831
t_8_16,o2m_natural,o2m,25032,296,0.10217244853889476,0.10075649257931817,0.10352568436570649,5000,20260831
t_8_16,common_trajectory,o2o,25028,296,0.11964391257624088,0.11915999562858687,0.12012737389200596,5000,20260831
t_8_16,common_trajectory,o2m,25028,296,0.10217560376870778,0.10075781698029353,0.10352992249380617,5000,20260831
t_8_16,common_trajectory,o2o_minus_o2m,25028,296,0.017468308807533098,0.015927018226714603,0.018988643343499773,5000,20260831
s_16_32,o2o_natural,o2o,3964,142,0.12128175870230536,0.11981036519157998,0.12244518915397497,5000,20260831
s_16_32,o2o_natural,o2m,3964,142,0.08809360286109488,0.08463666097310835,0.09192560981367127,5000,20260831
s_16_32,o2m_natural,o2o,3964,142,0.12128175870230536,0.11981036519157998,0.12244518915397497,5000,20260831
s_16_32,o2m_natural,o2m,3964,142,0.08809360286109488,0.08463666097310835,0.09192560981367127,5000,20260831
s_16_32,common_trajectory,o2o,3964,142,0.12128175870230536,0.11981036519157998,0.12244518915397497,5000,20260831
s_16_32,common_trajectory,o2m,3964,142,0.08809360286109488,0.08463666097310835,0.09192560981367127,5000,20260831
s_16_32,common_trajectory,o2o_minus_o2m,3964,142,0.03318815584121047,0.029366194866407007,0.03655290116928214,5000,20260831
