metric,count,tau,source_artifact,executable_definition,notes
total_trajectories,29724,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,len(event CSV),Four cardinal directions.
initial_state_defined_by_branch,29048,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,o2o_base_active != empty,O2O branch.
first_event_through_tau,2511,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,o2o_event_observed==1 AND o2o_radius<=0.125,Base-defined O2O trajectories only.
geometric_censor_before_tau,195,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,o2o_base_active present AND scan_limit_reason=image_boundary AND scan_limit<0.125,Strictly before tau; one additional trajectory censored exactly at tau is reported separately.
geometric_censor_at_tau,1,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,scan_limit_reason=image_boundary AND scan_limit==0.125,Tie retained as a separate descriptive count.
administrative_rmax_censor_total,22429,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,o2o_base_active present AND o2o_right_censored==1 AND o2o_censor_reason==rmax,Right-censored at administrative rmax; excludes trajectories with an earlier observed event even if scan_limit is rmax.
administrative_rmax_censor_before_tau,0,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,o2o_base_active present AND o2o_right_censored==1 AND o2o_censor_reason==rmax AND o2o_censor_radius<0.125,No rmax censor occurs before tau because rmax=0.25.
administrative_rmax_scan_limit_total,28792,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,o2o_base_active present AND scan_limit_reason==rmax,"Scan-limit label, not censoring status; includes trajectories with an earlier observed event."
observable_through_tau,28853,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,Existing dense curve has exact radius 0.125 and base O2O state is defined,Streamed exact endpoint rows only; no estimator recomputation.
return_after_first_departure,14,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,first O2O event <=0.125 AND exact endpoint o2o_active equals o2o_base_active,Descriptive return count from existing dense curve rows.
initial_state_undefined,676,0.125,runs\20260902_boundary_full_grid_1024_population_v1\per_direction_boundary_events.csv,o2o_base_active empty,O2O branch.
