figure,panel,panel_id,source_artifact,expected_sha256,actual_sha256,exists,hash_status,evidence_authority,evidence_id,evidence_registry_status,panel_status,notes
Fig1,a,Fig1a,manuscript/content/methods.tex,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,True,PASS,CONTRACT_SOURCE,,CONTRACT_SOURCE,WARN,method definition
Fig1,a,Fig1a,results/measurement_validation_20260831/fixed_branch_replay_v1/manifest.json,38299ec8fdc5ede460922bd686334b02d914815b320dad01dd6e150bb36a975a,38299ec8fdc5ede460922bd686334b02d914815b320dad01dd6e150bb36a975a,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-PRIMARY-V1,PASS,WARN,fixed replay contract
Fig1,a,Fig1a,results/reviewer_controls_20260829/formal_s0e300_k00625/manifest.json,5f98a6bd29d0e6c0c1b398c895a4fcd21001653a5bed197ee4fe3dae476484d5,5f98a6bd29d0e6c0c1b398c895a4fcd21001653a5bed197ee4fe3dae476484d5,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-PRIMARY-V1,PASS,WARN,equivalent-side replay contract
Fig1,a,Fig1a,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,True,PASS,SOURCE_ADDENDUM,ADD-FIG-S1-PRIMARY-TRACE-V1,SOURCE_ADDENDUM,WARN,primary-checkpoint qualitative candidate trace
Fig1,a,Fig1a,figures_final/source_data/figs1_primary_trace/validation.json,ad0f2731de4a24caac1328d5d7be98122bfb5bebfb953080960e7a4e96571960,ad0f2731de4a24caac1328d5d7be98122bfb5bebfb953080960e7a4e96571960,True,PASS,SOURCE_ADDENDUM,ADD-FIG-S1-PRIMARY-TRACE-V1,SOURCE_ADDENDUM,WARN,primary-checkpoint trace validation
Fig1,a,Fig1a,figures_final/source_data/figs1_primary_trace/0000170_00401_d_0000001__160_0.png,a0a38c98f96b9b5bd93f14464944ba19320c1ed8b0db49036d4b0eda680f43fa,a0a38c98f96b9b5bd93f14464944ba19320c1ed8b0db49036d4b0eda680f43fa,True,PASS,SOURCE_ADDENDUM,ADD-FIG-S1-PRIMARY-TRACE-V1,SOURCE_ADDENDUM,WARN,real AI-TOD-v2 source image
Fig1,b,Fig1b,manuscript/content/methods.tex,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,True,PASS,CONTRACT_SOURCE,,CONTRACT_SOURCE,PASS,method definition
Fig1,b,Fig1b,manuscript/supplementary.tex,299d29bc2f6960ac136e17875d6d78a96ccc9241631bb9b8b65529d77b883e6b,299d29bc2f6960ac136e17875d6d78a96ccc9241631bb9b8b65529d77b883e6b,True,PASS,CONTRACT_SOURCE,,CONTRACT_SOURCE,PASS,native-path contract
Fig1,b,Fig1b,results/measurement_validation_20260905/parity_5251_with_target_score_v1/summary.json,9d17462c9c1f90d8ed35c1d7f5742440700738b0fcc1646af47c5a9f63545d2d,9d17462c9c1f90d8ed35c1d7f5742440700738b0fcc1646af47c5a9f63545d2d,True,PASS,final_evidence_v4,EV-ASSIGNED-TARGET-SCORE-SEMANTICS-V1,PASS,PASS,assigned-identity target-score qualification
Fig1,c,Fig1c,manuscript/content/methods.tex,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,True,PASS,CONTRACT_SOURCE,,CONTRACT_SOURCE,PASS,method definition
