checkpoint_file,checkpoint_sha256,ci_high,ci_low,estimate,evidence_id,panel,row,series,source_path,source_sha256,unit,x
,,17.775632266890124,10.835297593130038,14.368388683177502,EV-STRESS-CONTRACT-PRIMARY-V1,a,Fixed 1 px · O2O,O2O,results/measurement_validation_20260831/fixed_branch_replay_v1/normalized_perturbation_summary.json,aece532fd9ea842247ed22ea03557e13ece6209144d83f3598beadd38ba0bcfe,percentage points,Fixed 1 px
,,6.310105928577199,-3.1785982408404982,1.4154782518930986,EV-STRESS-CONTRACT-PRIMARY-V1,a,Fixed 1 px · O2M,O2M,results/measurement_validation_20260831/fixed_branch_replay_v1/normalized_perturbation_summary.json,aece532fd9ea842247ed22ea03557e13ece6209144d83f3598beadd38ba0bcfe,percentage points,Fixed 1 px
,,19.15854072564379,6.524912418267659,12.952910431284403,EV-STRESS-CONTRACT-PRIMARY-V1,a,Fixed 1 px · Paired,Paired,results/measurement_validation_20260831/fixed_branch_replay_v1/normalized_perturbation_summary.json,aece532fd9ea842247ed22ea03557e13ece6209144d83f3598beadd38ba0bcfe,percentage points,Fixed 1 px
,,3.150185944772035,-3.4146662007170687,0.13109021162978768,EV-STRESS-CONTRACT-PRIMARY-V1,a,Equivalent-area-side · O2O,O2O,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,percentage points,Equivalent-area-side
,,-11.713930893404896,-22.720688064830775,-17.446047280897993,EV-STRESS-CONTRACT-PRIMARY-V1,a,Equivalent-area-side · O2M,O2M,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,percentage points,Equivalent-area-side
,,23.975479643516685,11.063358076453472,17.57713749252778,EV-STRESS-CONTRACT-PRIMARY-V1,a,Equivalent-area-side · Paired,Paired,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,percentage points,Equivalent-area-side
,,23.82595606047069,12.47538607391973,18.1912683625616,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,b,AI-TOD-v2 · κ=0.03125,AI-TOD-v2,results/stress_contract_sensitivity_20260829/frozen_matrix/kappa_sensitivity_matrix.csv,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,percentage points,0.03125
,,23.97547964351668,11.06335807645347,17.57713749252777,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,b,AI-TOD-v2 · κ=0.0625,AI-TOD-v2,results/stress_contract_sensitivity_20260829/frozen_matrix/kappa_sensitivity_matrix.csv,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,percentage points,0.0625
,,23.44563726256585,11.429514624054079,17.27273515907919,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,b,AI-TOD-v2 · κ=0.125,AI-TOD-v2,results/stress_contract_sensitivity_20260829/frozen_matrix/kappa_sensitivity_matrix.csv,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,percentage points,0.125
,,37.423482509464215,32.18905594520383,34.78955223687216,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,b,VisDrone · κ=0.03125,VisDrone,results/stress_contract_sensitivity_20260829/frozen_matrix/kappa_sensitivity_matrix.csv,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,percentage points,0.03125
,,39.84662000121432,34.73121999125469,37.24713924174077,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,b,VisDrone · κ=0.0625,VisDrone,results/stress_contract_sensitivity_20260829/frozen_matrix/kappa_sensitivity_matrix.csv,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,percentage points,0.0625
,,38.56067052002831,33.39216681591463,35.98222930417886,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,b,VisDrone · κ=0.125,VisDrone,results/stress_contract_sensitivity_20260829/frozen_matrix/kappa_sensitivity_matrix.csv,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,percentage points,0.125
epoch0.pt,a7a60c7aca76d51a979188eaab9c5bdafcdd71b315be98808e81bd1dd36fc705,20.11986712611341,7.574661994350873,13.42219414441596,EV-LEARNING-DYNAMICS-V1,c,epoch 0 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,0.0
epoch0.pt,a7a60c7aca76d51a979188eaab9c5bdafcdd71b315be98808e81bd1dd36fc705,25.51264286097592,11.974649787908112,18.407833952361205,EV-LEARNING-DYNAMICS-V1,c,epoch 0 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,0.0
epoch20.pt,0a83492fd1f38721dce7d0c54932e81a38a3d33dd63abdf380054035f51c07b4,19.714138271025057,6.680115942004532,13.062691140638863,EV-LEARNING-DYNAMICS-V1,c,epoch 20 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,20.0
epoch20.pt,0a83492fd1f38721dce7d0c54932e81a38a3d33dd63abdf380054035f51c07b4,25.995828772585984,12.92101808174419,19.26676653710907,EV-LEARNING-DYNAMICS-V1,c,epoch 20 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,20.0
epoch40.pt,41019d81a5ddefeb543674a89f1c97a7f2c4fa229a0765faaef41b761724754b,21.349470194719537,8.706721520100533,15.054957844792902,EV-LEARNING-DYNAMICS-V1,c,epoch 40 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,40.0
epoch40.pt,41019d81a5ddefeb543674a89f1c97a7f2c4fa229a0765faaef41b761724754b,28.379590956541872,14.378153415928088,21.346738181004056,EV-LEARNING-DYNAMICS-V1,c,epoch 40 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,40.0
epoch60.pt,4e901f5042b9aae0a6b9fbf2a32f4f60d8448cb553aa1144608398ec77000e0d,20.04549914421808,10.230826890985066,15.090622047077972,EV-LEARNING-DYNAMICS-V1,c,epoch 60 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,60.0
epoch60.pt,4e901f5042b9aae0a6b9fbf2a32f4f60d8448cb553aa1144608398ec77000e0d,26.480155205094874,15.654100438182974,21.00411819027143,EV-LEARNING-DYNAMICS-V1,c,epoch 60 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,60.0
epoch80.pt,80ed8764906560f24f6d8df21b5d70a9def4735c8e76e397175d32324e9b6721,20.118993748408624,8.20679730044006,14.15528540509358,EV-LEARNING-DYNAMICS-V1,c,epoch 80 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,80.0
epoch80.pt,80ed8764906560f24f6d8df21b5d70a9def4735c8e76e397175d32324e9b6721,25.026244952891968,13.928628484193183,19.308672151435,EV-LEARNING-DYNAMICS-V1,c,epoch 80 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,80.0
