all_n,authority,ci_high,ci_low,contract,contributing_images,directional_flip_rows,directional_replays,estimate,evidence_id,exclusive,image_n,interpretation,kind,label,n_gt,panel,reserved_components,retained_n,source_path,source_sha256,statistical_unit,support,unit
,final_evidence_v3,20.789832809246228,13.359216876344252,Fixed 1 px,,,,17.098552178502793,EV-ELIGIBILITY-LOCK-V1,,300,,o2o_gap,Native,,a,,,results/measurement_validation_20260831/eligibility_lock_v1/summary.json,dd01d94b093cf078ac22609e0066bfe1d3edab014c5c742c7231e26f7a5908df,GT and directional replay on lock support,eligibility-lock artifact support,percentage points
,final_evidence_v3,5.7438773273707096,1.1207116035609117,Fixed 1 px,,,,3.5162366686022772,EV-ELIGIBILITY-LOCK-V1,,300,,o2o_gap,Eligibility locked,,a,,,results/measurement_validation_20260831/eligibility_lock_v1/summary.json,dd01d94b093cf078ac22609e0066bfe1d3edab014c5c742c7231e26f7a5908df,GT and directional replay on lock support,eligibility-lock artifact support,percentage points
,final_evidence_v3,6.242823142933174,-0.6568945047767619,Equivalent-area-side,,,,2.949505159361844,EV-ELIGIBILITY-LOCK-V1,,300,,o2o_gap,Native,,a,,,results/measurement_validation_20260831/eligibility_lock_v1/summary.json,dd01d94b093cf078ac22609e0066bfe1d3edab014c5c742c7231e26f7a5908df,GT and directional replay on lock support,eligibility-lock artifact support,percentage points
,final_evidence_v3,2.07784422769583,-2.7015531991546387,Equivalent-area-side,,,,-0.19616140249156672,EV-ELIGIBILITY-LOCK-V1,,300,,o2o_gap,Eligibility locked,,a,,,results/measurement_validation_20260831/eligibility_lock_v1/summary.json,dd01d94b093cf078ac22609e0066bfe1d3edab014c5c742c7231e26f7a5908df,GT and directional replay on lock support,eligibility-lock artifact support,percentage points
,final_evidence_v3,91.91526732719491,70.50967729773919,Fixed 1 px,,,,79.43547130836566,EV-ELIGIBILITY-LOCK-V1,,300,,attenuation_fraction,Lock-support attenuation,,a,,,results/measurement_validation_20260831/eligibility_lock_v1/summary.json,dd01d94b093cf078ac22609e0066bfe1d3edab014c5c742c7231e26f7a5908df,GT and directional replay on lock support,eligibility-lock artifact support,percent
7434,final_evidence_v3,5.477524874627129,1.1085042133158869,Fixed 1 px,282,,,3.3571110208631323,EV-ELIGIBILITY-STABLE-V2,,,,eligibility_stable_gap,Object-level,,b,,6217,results/five_experiment_upgrade_20260830/eligibility_stable_sensitivity_v2/summary.json,27c12ddde8d15d144f7167f9fcc2f187b32dafb5cc5ccc9157c36ce0e2d750e7,object level,post-replay eligibility-stable subset,percentage points
29616,final_evidence_v3,1.7352496706247362,0.18681724236397348,Fixed 1 px,300,,,1.0186086175850675,EV-ELIGIBILITY-STABLE-V2,,,,eligibility_stable_gap,Direction-level,,b,,28144,results/five_experiment_upgrade_20260830/eligibility_stable_sensitivity_v2/summary.json,27c12ddde8d15d144f7167f9fcc2f187b32dafb5cc5ccc9157c36ce0e2d750e7,direction level,post-replay eligibility-stable subset,percentage points
7432,final_evidence_v3,2.9554381601317665,-1.1938453267132603,Equivalent-area-side,293,,,1.0519563303285593,EV-ELIGIBILITY-STABLE-V2,,,,eligibility_stable_gap,Object-level,,b,,6999,results/five_experiment_upgrade_20260830/eligibility_stable_sensitivity_v2/summary.json,27c12ddde8d15d144f7167f9fcc2f187b32dafb5cc5ccc9157c36ce0e2d750e7,object level,post-replay eligibility-stable subset,percentage points
29612,final_evidence_v3,0.7601768976519309,-0.8554240705406388,Equivalent-area-side,300,,,0.020618332005533854,EV-ELIGIBILITY-STABLE-V2,,,,eligibility_stable_gap,Direction-level,,b,,28979,results/five_experiment_upgrade_20260830/eligibility_stable_sensitivity_v2/summary.json,27c12ddde8d15d144f7167f9fcc2f187b32dafb5cc5ccc9157c36ce0e2d750e7,direction level,post-replay eligibility-stable subset,percentage points
,final_evidence_v3,71.06888898085866,63.01547156148377,Fixed 1 px,201,2194,,67.09427047629606,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Eligibility,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,0.5423581915329904,0.046233659799073346,Fixed 1 px,201,2194,,0.27387858538450194,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Top-k,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,4.121748303933901,1.071415588107023,Fixed 1 px,201,2194,,2.5052880575079826,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Conflict,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,34.356675760852234,26.137084079086875,Fixed 1 px,201,2194,,30.12656288081147,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Within-set rank,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,0.0,0.0,Fixed 1 px,201,2194,,0.0,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Other/reserved,,c,active_disappearance + compound_or_other,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,55.941183263891446,46.05701402099967,Equivalent-area-side,159,1241,,51.005346074238766,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Eligibility,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,0.9745104237071764,0.08053051535837012,Equivalent-area-side,159,1241,,0.4840944710360227,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Top-k,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,5.175781659596989,1.4350138800988792,Equivalent-area-side,159,1241,,3.1441647742318812,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Conflict,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,50.26496179723778,40.62206788646401,Equivalent-area-side,159,1241,,45.36639468049332,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Within-set rank,,c,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,final_evidence_v3,0.0,0.0,Equivalent-area-side,159,1241,,0.0,EV-PATHWAY-ANATOMY-V2,True,,,exclusive_first_observed,Other/reserved,,c,active_disappearance + compound_or_other,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,,,percent of identity-flip directions
,SOURCE_ADDENDUM,71.13739124035067,63.00853553446484,Fixed 1 px,,2194,,67.09427047629605,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Eligibility,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,71.42933889880332,63.24087598992448,Fixed 1 px,,2194,,67.36814906168055,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Top-k,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,73.90895928915359,65.48402092077731,Fixed 1 px,,2194,,69.87343711918854,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Conflict,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,79.35293918973403,70.97625601201085,Fixed 1 px,,2194,,75.11834244767574,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Within-set rank,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,15.077111861601205,9.653549664989704,Fixed 1 px,,2194,,12.256441648781689,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Active missing,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,48.91056239231115,41.164183512403625,Fixed 1 px,,2194,,44.71845525956925,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Geometry clipping,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,48.81075765504195,41.06685954702318,Fixed 1 px,,2194,,44.627162397774406,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Eligibility ∩ Within-set,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,55.902819082124125,45.981412358077975,Equivalent-area-side,,1241,,51.005346074238766,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Eligibility,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
,SOURCE_ADDENDUM,56.40694665546923,46.46699174139485,Equivalent-area-side,,1241,,51.48944054527479,ADD-FIG-COOCCURRENCE-V1,False,,descriptive co-occurrence; not causal attribution,nonexclusive_any_stage,Top-k,,c,,,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,,,percent of identity-flip directions
