authority,ci_high,ci_low,directional_trajectories,estimand,estimate,evidence_id,evidence_version,image_n,kind,metric,n_base_defined,n_base_undefined_excluded,panel,radius,series,size_group,size_label,source_path,source_sha256,statistical_unit,support,tau,unit,weighted_n
final_evidence_v3_bound_output,1.0,1.0,,o2o,1.0,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9893554522505056,0.98523813528545,,o2o,0.9873201735874452,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0009765625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9891049489316708,0.9848396383890516,,o2o,0.9870000222559744,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.001953125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9886943993867926,0.9845132922078426,,o2o,0.986599772302503,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0029296875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9882819158422578,0.9840771326941482,,o2o,0.9862002518186248,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.00390625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9880165687423303,0.98379233705147,,o2o,0.9859199066416232,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0048828125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.987737047245713,0.9834278114788392,,o2o,0.9855995121536214,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.005859375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9876480123089252,0.9832719632861144,,o2o,0.9854796073771518,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0068359375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9871952938245072,0.9827713839744192,,o2o,0.9849999882712732,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0078125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9869151798859532,0.98243539238286,,o2o,0.9846803232528646,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0087890625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9865867324557186,0.9820969588543084,,o2o,0.9843599287648628,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.009765625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9860265316431848,0.9816244648500314,,o2o,0.9838397740349218,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0107421875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9857580280167706,0.9814391047648842,,o2o,0.9835997213254516,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.01171875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9854277969179674,0.9809851897627838,,o2o,0.9831994713719802,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0126953125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
