analysis,checkpoint,ci_high,ci_low,dataset,estimate,evidence_id,metric,n_gt,n_images,n_rows,orientation,panel,size,source_path,source_sha256,status
,,0.0604057808024706,0.0473068707962812,,0.0535816487250534,EV-MARGIN-RHOR-CONSTRUCT-V3,,,,1593,,b,,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rho_R_status.csv,852482d938a5c10e61834a3327d342a5b6134b42b895cc291066bc7d45c43bab,observed
,,0.258412776195338,0.2421520064729388,,0.2502956733822687,EV-MARGIN-RHOR-CONSTRUCT-V3,,,,7439,,b,,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rho_R_status.csv,852482d938a5c10e61834a3327d342a5b6134b42b895cc291066bc7d45c43bab,competing_censored
,,0.5845700205999402,0.523633102535688,,0.5567817694676057,EV-MARGIN-RHOR-CONSTRUCT-V3,,,,16548,,b,,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rho_R_status.csv,852482d938a5c10e61834a3327d342a5b6134b42b895cc291066bc7d45c43bab,right_censored
,,0.1712917414257992,0.1122643579894877,,0.1393409084250742,EV-MARGIN-RHOR-CONSTRUCT-V3,,,,4144,,b,,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rho_R_status.csv,852482d938a5c10e61834a3327d342a5b6134b42b895cc291066bc7d45c43bab,undefined
Rank crossing,,0.6693569456376206,0.5841099749079567,,0.6276818150169101,EV-MARGIN-RHOR-CONSTRUCT-V3,,,173,1593,,c,All,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,
Eligibility boundary,,0.1911936543423313,0.1110758324482569,,0.1503278556552941,EV-MARGIN-RHOR-CONSTRUCT-V3,,,221,3444,,c,All,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,
Rank crossing,,0.6721652633156439,0.5776619567968986,,0.6265714115129519,EV-MARGIN-RHOR-CONSTRUCT-V3,,,169,1406,,c,8-16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,
Eligibility boundary,,0.1713661917850834,0.0869644362457916,,0.1282467833336212,EV-MARGIN-RHOR-CONSTRUCT-V3,,,213,3017,,c,8-16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,
Rank crossing,,0.7049682089082276,0.5308130907291245,,0.62972319611968,EV-MARGIN-RHOR-CONSTRUCT-V3,,,50,187,,c,16-32 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,
Eligibility boundary,,0.4469440706220424,0.2727545744788471,,0.358031607500051,EV-MARGIN-RHOR-CONSTRUCT-V3,,,101,427,,c,16-32 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,
,4b57787f7351...,0.3637554605906921,-4.844315091607723,AI-TOD-v2,-0.9965483940196362,SOURCE_ADDENDUM,ROC-AUC,6410,288,,right is held-out improvement; log loss and Brier signs inverted,d,,results/reviewer_controls_20260829/formal_s0e300_k00625/incremental_value_summary_foldwise.json,0f555db9c5e1ecf3d738607551d45beb75f6f0a6f3e0820683b27d9aa5b32a88,
