size_group,status,n_rows,estimate,ci_low,ci_high
all,observed,1592,0.053547964767496514,0.04725511594525998,0.060405780802470624
all,competing_censored,7437,0.2502287144866395,0.2420304317862642,0.2583299420120858
all,right_censored,16551,0.5568824123207918,0.5237458308913039,0.5846314321082593
all,undefined,4144,0.13934090842507427,0.11226435798948779,0.17129174142579923
all,undefined_reason:base_active_missing,676,,,
all,undefined_reason:base_order_not_active_over_runner,56,,,
all,undefined_reason:base_runner_missing,3412,,,
t_8_16,observed,1406,0.054566512533890346,0.04812000168877892,0.06127097930179952
t_8_16,competing_censored,6396,0.2483259398987693,0.23973485791733914,0.25705097850682795
t_8_16,right_censored,13830,0.536923561167959,0.5025053048634811,0.5662012506954729
t_8_16,undefined,4128,0.160183986399383,0.13188486971796085,0.19350667054723686
t_8_16,undefined_reason:base_active_missing,676,,,
t_8_16,undefined_reason:base_order_not_active_over_runner,44,,,
t_8_16,undefined_reason:base_runner_missing,3408,,,
s_16_32,observed,186,0.04693603460542445,0.034407464731965716,0.06053149219962878
s_16_32,competing_censored,1041,0.2625806267918464,0.24458227787926928,0.27927639716231495
s_16_32,right_censored,2721,0.6864458302495744,0.6631092911917223,0.7119161139149993
s_16_32,undefined,16,0.00403750835315479,0.0,0.011124649889314202
s_16_32,undefined_reason:base_order_not_active_over_runner,12,,,
s_16_32,undefined_reason:base_runner_missing,4,,,
