size_group,estimand,tau,n_base_defined,n_base_undefined_excluded,weighted_n,estimate,ci_low,ci_high
all,o2o,0.125,29048,676,1280354.6065217394,0.11991759487907731,0.11939616493693932,0.12038279988886491
all,o2m_legacy,0.125,29276,448,1290385.2652173918,0.10049141877875996,0.0989373679710428,0.10196862569100369
all,o2m_pre_topk,0.125,29276,448,1290385.2652173918,0.10049141877875996,0.0989373679710428,0.10196862569100369
all,o2m_assigned_positive,0.125,28996,728,1278063.039130435,0.10055400165325051,0.09895339383793778,0.10210231199547284
t_8_16,o2o,0.125,25084,676,1105472.7500000002,0.11969772845420436,0.11923638386449902,0.12015954020647422
t_8_16,o2m_legacy,0.125,25312,448,1115503.4086956524,0.1023818730281077,0.10101730476286132,0.10370024203094844
t_8_16,o2m_pre_topk,0.125,25312,448,1115503.4086956524,0.1023818730281077,0.10101730476286132,0.10370024203094844
t_8_16,o2m_assigned_positive,0.125,25032,728,1103181.182608696,0.10246215021402343,0.10104741306290171,0.10384989339471624
s_16_32,o2o,0.125,3964,0,174881.85652173916,0.12131023849347329,0.11984445722199595,0.1224676592101416
s_16_32,o2m_legacy,0.125,3964,0,174881.85652173916,0.08840628739305963,0.08496721440663525,0.09221557622224096
s_16_32,o2m_pre_topk,0.125,3964,0,174881.85652173916,0.08840628739305963,0.08496721440663525,0.09221557622224096
s_16_32,o2m_assigned_positive,0.125,3964,0,174881.85652173916,0.08849055587856797,0.08506684682309903,0.09227979039293661
