size_group,estimand,metric,radius,estimate,ci_low,ci_high
all,o2o,survival,0.0,1.0,1.0,1.0
all,o2o,cif_eligibility,0.0,0.0,0.0,0.0
all,o2o,cif_topk,0.0,0.0,0.0,0.0
all,o2o,cif_conflict,0.0,0.0,0.0,0.0
all,o2o,cif_within_set,0.0,0.0,0.0,0.0
all,o2o,cif_other,0.0,0.0,0.0,0.0
all,o2o,survival,0.001953125,0.9884619856542194,0.986614924669138,0.9903032782129335
all,o2o,cif_eligibility,0.001953125,0.010846705364222338,0.009033100346010705,0.01269596139838399
all,o2o,cif_topk,0.001953125,0.0,0.0,0.0
all,o2o,cif_conflict,0.001953125,0.0,0.0,0.0
all,o2o,cif_within_set,0.001953125,0.0006913089815582381,0.0003705969497910622,0.0010690619340519897
all,o2o,cif_other,0.001953125,0.0,0.0,0.0
all,o2o,survival,0.00390625,0.9877021337441212,0.9858111712854999,0.9895564807258467
all,o2o,cif_eligibility,0.00390625,0.010915878260207868,0.009120363831506096,0.01274621027364186
all,o2o,cif_topk,0.00390625,0.0,0.0,0.0
all,o2o,cif_conflict,0.00390625,0.0,0.0,0.0
all,o2o,cif_within_set,0.00390625,0.0013819879956708933,0.0008914419790571026,0.0019299485831401134
all,o2o,cif_other,0.00390625,0.0,0.0,0.0
all,o2o,survival,0.005859375,0.9871141641282443,0.9851917756013997,0.9890080348444246
all,o2o,cif_eligibility,0.005859375,0.010985051156193398,0.009187390591824567,0.012818426292026954
all,o2o,cif_topk,0.005859375,0.0,0.0,0.0
all,o2o,cif_conflict,0.005859375,0.0,0.0,0.0
all,o2o,cif_within_set,0.005859375,0.0019007847155623628,0.0013101929478670405,0.0025818334075129656
all,o2o,cif_other,0.005859375,0.0,0.0,0.0
all,o2o,survival,0.0078125,0.9865272444581099,0.9845720684347153,0.9884456690891461
all,o2o,cif_eligibility,0.0078125,0.011019637604186162,0.009212539208238515,0.012859303266247436
all,o2o,cif_topk,0.0078125,0.0,0.0,0.0
all,o2o,cif_conflict,0.0078125,0.0,0.0,0.0
all,o2o,cif_within_set,0.0078125,0.0024531179377039595,0.0018048767437711085,0.0031679628104417756
all,o2o,cif_other,0.0078125,0.0,0.0,0.0
all,o2o,survival,0.009765625,0.9858015590177075,0.9838164639826821,0.9877603763788361
all,o2o,cif_eligibility,0.009765625,0.011088810500171692,0.009281783184626378,0.012932933211778845
all,o2o,cif_topk,0.009765625,0.0,0.0,0.0
all,o2o,cif_conflict,0.009765625,0.0,0.0,0.0
all,o2o,cif_within_set,0.009765625,0.003109630482120905,0.0024078133165213915,0.003851444729831882
all,o2o,cif_other,0.009765625,0.0,0.0,0.0
all,o2o,survival,0.01171875,0.9850412871293123,0.9831239900599144,0.9869029161858648
all,o2o,cif_eligibility,0.01171875,0.011157983396157221,0.00936728773402999,0.012989165633283378
all,o2o,cif_topk,0.01171875,0.0,0.0,0.0
all,o2o,cif_conflict,0.01171875,3.458644799276465e-05,0.0,0.00010963804776710833
all,o2o,cif_within_set,0.01171875,0.003766143026537851,0.0030742786640278207,0.004496113139834077
all,o2o,cif_other,0.01171875,0.0,0.0,0.0
all,o2o,survival,0.013671875,0.9844539474808808,0.9824861735328555,0.9863912902609365
all,o2o,cif_eligibility,0.013671875,0.011261532750986987,0.009476574462220519,0.013093958153015528
all,o2o,cif_topk,0.013671875,0.0,0.0,0.0
all,o2o,cif_conflict,0.013671875,3.458644799276465e-05,0.0,0.00010963804776710833
all,o2o,cif_within_set,0.013671875,0.004249933320139501,0.003432036562145386,0.005132283110237164
all,o2o,cif_other,0.013671875,0.0,0.0,0.0
all,o2o,survival,0.015625,0.9836247126856484,0.9815882060429809,0.9856378127683211
all,o2o,cif_eligibility,0.015625,0.01133049565782399,0.009528595479831708,0.013168257971729873
all,o2o,cif_topk,0.015625,0.0,0.0,0.0
all,o2o,cif_conflict,0.015625,6.917289598552928e-05,0.0,0.00017675455307750496
all,o2o,cif_within_set,0.015625,0.004975618760541976,0.004095804168437888,0.00592711704004868
all,o2o,cif_other,0.015625,0.0,0.0,0.0
all,o2o,survival,0.017578125,0.9828990272452459,0.9806662134326827,0.9850292863364574
all,o2o,cif_eligibility,0.017578125,0.011364872116668227,0.00955355722534075,0.01321644036172256
all,o2o,cif_topk,0.017578125,0.0,0.0,0.0
all,o2o,cif_conflict,0.017578125,0.00010354935482976643,0.0,0.00022561272354238622
all,o2o,cif_within_set,0.017578125,0.005632551283255977,0.00464883105784454,0.006702442507704552
all,o2o,cif_other,0.017578125,0.0,0.0,0.0
all,o2o,survival,0.01953125,0.9821733418048434,0.9798333939165194,0.9843815620164312
all,o2o,cif_eligibility,0.01953125,0.011434045012653757,0.009626258808077569,0.013282700592513007
all,o2o,cif_topk,0.01953125,0.0,0.0,0.0
all,o2o,cif_conflict,0.01953125,0.00010354935482976643,0.0,0.00022561272354238622
all,o2o,cif_within_set,0.01953125,0.0062890638276729225,0.005162493280828968,0.007540415816321512
all,o2o,cif_other,0.01953125,0.0,0.0,0.0
all,o2o,survival,0.021484375,0.9812405576547814,0.9788392707327556,0.9835666589181066
all,o2o,cif_eligibility,0.021484375,0.011503217908639287,0.009687007304294467,0.013347145598922772
all,o2o,cif_topk,0.021484375,0.0,0.0,0.0
all,o2o,cif_conflict,0.021484375,0.00020730869880806037,3.3183883533839086e-05,0.0004324004746145288
all,o2o,cif_within_set,0.021484375,0.0070489157377711074,0.005831961757883258,0.008425591454462915
all,o2o,cif_other,0.021484375,0.0,0.0,0.0
all,o2o,survival,0.0234375,0.9805494586623716,0.9780495808370832,0.9829850121962604
all,o2o,cif_eligibility,0.0234375,0.011641353711461818,0.009820293875488403,0.013489913901620586
all,o2o,cif_topk,0.0234375,0.0,0.0,0.0
all,o2o,cif_conflict,0.0234375,0.00020730869880806037,3.3183883533839086e-05,0.0004324004746145288
all,o2o,cif_within_set,0.0234375,0.007601878927358287,0.006252890115080137,0.009121527380972593
all,o2o,cif_other,0.0234375,0.0,0.0,0.0
all,o2o,survival,0.025390625,0.9798931561071033,0.9773308115995221,0.9823772658913541
all,o2o,cif_eligibility,0.025390625,0.011641353711461818,0.009820293875488403,0.013489913901620586
all,o2o,cif_topk,0.025390625,0.0,0.0,0.0
all,o2o,cif_conflict,0.025390625,0.0002762716056450622,6.424522822867132e-05,0.0005312643613135659
all,o2o,cif_within_set,0.025390625,0.008189218575789704,0.00675810501482502,0.009823579788465585
all,o2o,cif_other,0.025390625,0.0,0.0,0.0
all,o2o,survival,0.02734375,0.9793062364369689,0.9766283973902967,0.9818551368152816
all,o2o,cif_eligibility,0.02734375,0.011744903066291584,0.009903052877684712,0.013591103155462718
all,o2o,cif_topk,0.02734375,0.0,0.0,0.0
all,o2o,cif_conflict,0.02734375,0.0002762716056450622,6.424522822867132e-05,0.0005312643613135659
all,o2o,cif_within_set,0.02734375,0.0086725888910943,0.007171859209169002,0.010428225561291977
all,o2o,cif_other,0.02734375,0.0,0.0,0.0
all,o2o,survival,0.029296875,0.9787882796736715,0.9760923165739372,0.9814052632924917
all,o2o,cif_eligibility,0.029296875,0.011779489514284348,0.009940458589192543,0.013620195603695828
all,o2o,cif_topk,0.029296875,0.0,0.0,0.0
all,o2o,cif_conflict,0.029296875,0.0002762716056450622,6.424522822867132e-05,0.0005312643613135659
all,o2o,cif_within_set,0.029296875,0.009155959206398894,0.007558181130426096,0.011003982268746564
all,o2o,cif_other,0.029296875,0.0,0.0,0.0
all,o2o,survival,0.03125,0.9778211190647653,0.9749207179221389,0.9805532689265727
all,o2o,cif_eligibility,0.03125,0.01184845242112135,0.009984755514150527,0.013728578929236053
all,o2o,cif_topk,0.03125,0.0,0.0,0.0
all,o2o,cif_conflict,0.03125,0.00031064806448929933,8.680919230309713e-05,0.0005815498778282023
all,o2o,cif_within_set,0.03125,0.010019780449623901,0.008280302244250469,0.012070450632934989
all,o2o,cif_other,0.03125,0.0,0.0,0.0
all,o2o,survival,0.033203125,0.9769924849274138,0.9740043522856388,0.9797907528073478
all,o2o,cif_eligibility,0.033203125,0.011952005438718251,0.010077431112111668,0.013829338017123655
all,o2o,cif_topk,0.033203125,3.45876713910677e-05,0.0,0.00011975868684384612
all,o2o,cif_conflict,0.033203125,0.00031064806448929933,8.680919230309713e-05,0.0005815498778282023
all,o2o,cif_within_set,0.033203125,0.010710273897987437,0.008865880416169343,0.012845850781456836
all,o2o,cif_other,0.033203125,0.0,0.0,0.0
all,o2o,survival,0.03515625,0.9764751398325818,0.9734631188518355,0.9792784212763161
all,o2o,cif_eligibility,0.03515625,0.011952005438718251,0.010077431112111668,0.013829338017123655
all,o2o,cif_topk,0.03515625,3.45876713910677e-05,0.0,0.00011975868684384612
all,o2o,cif_conflict,0.03515625,0.00031064806448929933,8.680919230309713e-05,0.0005815498778282023
all,o2o,cif_within_set,0.03515625,0.011227618992819332,0.009319597300157597,0.013445535893338459
all,o2o,cif_other,0.03515625,0.0,0.0,0.0
all,o2o,survival,0.037109375,0.9759913324262596,0.9728586758459885,0.9788350446627245
all,o2o,cif_eligibility,0.037109375,0.012020970784924083,0.010145021334467803,0.013915576571186243
all,o2o,cif_topk,0.037109375,3.45876713910677e-05,0.0,0.00011975868684384612
all,o2o,cif_conflict,0.037109375,0.000345235735880367,9.40160438256126e-05,0.0006659687450065276
all,o2o,cif_within_set,0.037109375,0.011607873381544774,0.009673885903763271,0.013916557441097916
all,o2o,cif_other,0.037109375,0.0,0.0,0.0
all,o2o,survival,0.0390625,0.9750241376067674,0.9717910533882965,0.977917852402693
all,o2o,cif_eligibility,0.0390625,0.012089936131129915,0.010193969168530756,0.013980787669318763
all,o2o,cif_topk,0.0390625,3.45876713910677e-05,0.0,0.00011975868684384612
all,o2o,cif_conflict,0.0390625,0.0003798234072714347,0.00011888571302947613,0.0007130418815059019
all,o2o,cif_within_set,0.0390625,0.012471515183439953,0.010453601164401655,0.014827543437335652
all,o2o,cif_other,0.0390625,0.0,0.0,0.0
all,o2o,survival,0.041015625,0.9743681852917406,0.9710679724911738,0.9773754667567995
all,o2o,cif_eligibility,0.041015625,0.012159116382064974,0.010260470026791611,0.014073495251446787
all,o2o,cif_topk,0.041015625,3.45876713910677e-05,0.0,0.00011975868684384612
all,o2o,cif_conflict,0.041015625,0.0003798234072714347,0.00011888571302947613,0.0007130418815059019
all,o2o,cif_within_set,0.041015625,0.013058287247531643,0.010940460490882127,0.015491468238911777
