trajectory_epoch,checkpoint_file,checkpoint_path,checkpoint_sha256,bytes,training_result_epoch,train_box_loss,train_cls_loss,train_dfl_loss,training_time_sec,formal_map_status,stress_mode,common_valid_gt,o2o_scale_contrast_pp,o2o_ci_low_pp,o2o_ci_high_pp,o2m_scale_contrast_pp,o2m_ci_low_pp,o2m_ci_high_pp,paired_contrast_pp,paired_ci_low_pp,paired_ci_high_pp,audit_elapsed_sec,precision,recall,map50,map50_95
0,epoch0.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch0.pt,a7a60c7aca76d51a979188eaab9c5bdafcdd71b315be98808e81bd1dd36fc705,60197142,1,2.53378,2.20009,0.0023,426.296,pending frozen-protocol recheck,fixed_1px,6343,16.61477177727921,13.230828925944268,20.281614790710716,3.192577632863247,-1.5630146662219302,7.311538595856873,13.422194144415961,7.574661994350873,20.119867126113412,579.6055973999996,0.5130928815343997,0.271801940124372,0.2630568680496178,0.1116257461294256
0,epoch0.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch0.pt,a7a60c7aca76d51a979188eaab9c5bdafcdd71b315be98808e81bd1dd36fc705,60197142,1,2.53378,2.20009,0.0023,426.296,pending frozen-protocol recheck,normalized,6342,-1.6310084437317656,-4.794660483123932,1.761257433800056,-20.03884239609297,-25.590914267378068,-14.926005626141018,18.407833952361205,11.974649787908112,25.51264286097592,581.0315959999998,0.5130928815343997,0.271801940124372,0.2630568680496178,0.1116257461294256
20,epoch20.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch20.pt,0a83492fd1f38721dce7d0c54932e81a38a3d33dd63abdf380054035f51c07b4,60199190,21,2.2752,1.13228,0.00194,5562.85,pending frozen-protocol recheck,fixed_1px,6394,12.342634702875314,9.259532864961226,15.657937876256788,-0.7200564377635499,-5.151059107150084,3.74401594951438,13.062691140638863,6.680115942004532,19.714138271025057,586.4194004999999,0.5524025917101218,0.4949703848303114,0.4520406797876116,0.1909948248942869
20,epoch20.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch20.pt,0a83492fd1f38721dce7d0c54932e81a38a3d33dd63abdf380054035f51c07b4,60199190,21,2.2752,1.13228,0.00194,5562.85,pending frozen-protocol recheck,normalized,6393,-2.392336919412308,-5.559861898791352,0.7613523832280278,-21.65910345652138,-26.307103634387484,-16.977282821263643,19.26676653710907,12.92101808174419,25.995828772585984,702.5688161999997,0.5524025917101218,0.4949703848303114,0.4520406797876116,0.1909948248942869
40,epoch40.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch40.pt,41019d81a5ddefeb543674a89f1c97a7f2c4fa229a0765faaef41b761724754b,60201686,41,2.20143,1.03376,0.00186,10654.1,pending frozen-protocol recheck,fixed_1px,6392,14.962536612309204,11.506089573238604,18.290480193633243,-0.09242123248369705,-4.754345771579484,4.894112032217012,15.054957844792902,8.706721520100533,21.349470194719537,789.6413714999999,0.5757823008771406,0.5472944960369426,0.5168313801507786,0.2260138494640234
40,epoch40.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch40.pt,41019d81a5ddefeb543674a89f1c97a7f2c4fa229a0765faaef41b761724754b,60201686,41,2.20143,1.03376,0.00186,10654.1,pending frozen-protocol recheck,normalized,6391,0.7138058811303916,-2.8972290673208017,4.037206636328501,-20.632932299873662,-25.94918341955339,-14.881377661304937,21.346738181004056,14.378153415928088,28.379590956541872,886.3186010000009,0.5757823008771406,0.5472944960369426,0.5168313801507786,0.2260138494640234
60,epoch60.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch60.pt,4e901f5042b9aae0a6b9fbf2a32f4f60d8448cb553aa1144608398ec77000e0d,60204182,61,2.16274,0.97686,0.00182,15742.8,pending frozen-protocol recheck,fixed_1px,6387,14.81842153454278,11.374660644055593,18.009404894737425,-0.2722005125351923,-4.482167690303669,3.543380897091876,15.090622047077973,10.230826890985066,20.045499144218077,886.9349172000002,0.5729539124438967,0.5901289777974246,0.5484387939251332,0.2429438221646372
60,epoch60.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch60.pt,4e901f5042b9aae0a6b9fbf2a32f4f60d8448cb553aa1144608398ec77000e0d,60204182,61,2.16274,0.97686,0.00182,15742.8,pending frozen-protocol recheck,normalized,6386,0.8180938266030668,-2.855821310051444,3.8633920506526143,-20.186024363668366,-24.947367940560568,-15.555512797118842,21.00411819027143,15.654100438182974,26.480155205094874,878.2240896999992,0.5729539124438967,0.5901289777974246,0.5484387939251332,0.2429438221646372
80,epoch80.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch80.pt,80ed8764906560f24f6d8df21b5d70a9def4735c8e76e397175d32324e9b6721,60206614,81,2.12775,0.92813,0.00178,20840.4,pending frozen-protocol recheck,fixed_1px,6394,15.056591798850254,12.269456675265513,17.996655710333258,0.9013063937566734,-4.0385765578698125,5.916709090115956,14.155285405093581,8.20679730044006,20.118993748408624,899.9971784999998,0.7193290904521112,0.5548940466592991,0.5635536792688931,0.2541063523590809
80,epoch80.pt,E:\two_paper\beifen\archive_backup\artifacts\analysis_runs\detect\experiments\baseline_13zone\yolo26s_aitodv2_baseline_13zone_e300_s0\weights\epoch80.pt,80ed8764906560f24f6d8df21b5d70a9def4735c8e76e397175d32324e9b6721,60206614,81,2.12775,0.92813,0.00178,20840.4,pending frozen-protocol recheck,normalized,6393,0.7220232919655345,-2.208057067800226,3.4711601539836794,-18.586648859469467,-23.49732843516923,-13.73186780799892,19.308672151435,13.928628484193183,25.026244952891968,778.5099787999989,0.7193290904521112,0.5548940466592991,0.5635536792688931,0.2541063523590809
